node_id,x_coord,y_coord,zone_id,geometry
34217,-89.796164,33.639336,,POINT (-89.796164 33.639336)
34218,-89.812141,33.676571,,POINT (-89.812141 33.676571)
34219,-89.840881,33.780357,,POINT (-89.840881 33.780357)
34220,-89.840698,33.7859,,POINT (-89.840698 33.7859)
34221,-89.840403,33.791459,,POINT (-89.840403 33.791459)
34222,-89.764603,33.491495,,POINT (-89.764603 33.491495)
34223,-89.840369,33.857064,,POINT (-89.840369 33.857064)
34224,-89.842201,33.862499,,POINT (-89.842201 33.862499)
34225,-89.844597,33.870205,,POINT (-89.844597 33.870205)
34226,-89.854607,33.897858,,POINT (-89.854607 33.897858)
34227,-89.886719,34.053967,,POINT (-89.886719 34.053967)
34228,-89.893501,34.0774,,POINT (-89.893501 34.0774)
34229,-89.892309,34.07368,,POINT (-89.892309 34.07368)
46711,-96.762912,44.577701,,POINT (-96.762912 44.577701)
46712,-96.762573,44.57272,,POINT (-96.762573 44.57272)
46713,-97.055969,45.107651,,POINT (-97.055969 45.107651)
46691,-97.055883,45.101633,,POINT (-97.055883 45.101633)
46714,-97.056159,45.113601,,POINT (-97.056159 45.113601)
46715,-97.055862,45.150669,,POINT (-97.055862 45.150669)
46716,-97.051361,45.249981,,POINT (-97.051361 45.249981)
46717,-97.051819,45.297001,,POINT (-97.051819 45.297001)
34137,-97.051519,45.309301,,POINT (-97.051519 45.309301)
34136,-97.051567,45.315231,,POINT (-97.051567 45.315231)
34138,-97.051212,45.320547,,POINT (-97.051212 45.320547)
34139,-97.024352,45.398517,,POINT (-97.024352 45.398517)
34140,-97.020569,45.40321,,POINT (-97.020569 45.40321)
34141,-97.016351,45.408335,,POINT (-97.016351 45.408335)
34142,-96.988294,45.654235,,POINT (-96.988294 45.654235)
34143,-96.985352,45.659969,,POINT (-96.985352 45.659969)
34144,-96.982223,45.665692,,POINT (-96.982223 45.665692)
34145,-96.86483,45.843124,,POINT (-96.86483 45.843124)
34146,-96.86499,45.84967,,POINT (-96.86499 45.84967)
34147,-96.865056,45.857109,,POINT (-96.865056 45.857109)
34148,-96.843567,45.935497,,POINT (-96.843567 45.935497)
34149,-96.835297,46.046589,,POINT (-96.835297 46.046589)
34150,-96.835396,46.051601,,POINT (-96.835396 46.051601)
34151,-96.835403,46.055788,,POINT (-96.835403 46.055788)
34152,-100.709396,46.835499,,POINT (-100.709396 46.835499)
34153,-100.546002,46.837028,,POINT (-100.546002 46.837028)
34154,-100.540563,46.83695,,POINT (-100.540563 46.83695)
34155,-100.535431,46.836891,,POINT (-100.535431 46.836891)
34156,-100.294382,46.836312,,POINT (-100.294382 46.836312)
6329,-100.469361,47.446301,6329.0,POINT (-100.469361 47.446301)
34157,-100.287903,46.8363,,POINT (-100.287903 46.8363)
34158,-100.281211,46.836264,,POINT (-100.281211 46.836264)
34159,-100.076698,46.864498,,POINT (-100.076698 46.864498)
34160,-99.921665,46.864399,,POINT (-99.921665 46.864399)
34161,-99.915497,46.864399,,POINT (-99.915497 46.864399)
34128,-92.544678,41.696464,,POINT (-92.544678 41.696464)
34129,-92.363765,41.695632,,POINT (-92.363765 41.695632)
34130,-92.357422,41.69556,,POINT (-92.357422 41.69556)
34131,-92.350447,41.695599,,POINT (-92.350447 41.695599)
34132,-92.299622,41.695713,,POINT (-92.299622 41.695713)
34133,-100.698282,43.883133,,POINT (-100.698282 43.883133)
34134,-100.366257,43.911091,,POINT (-100.366257 43.911091)
34135,-100.320643,43.91243,,POINT (-100.320643 43.91243)
46599,-100.3125,43.912411,,POINT (-100.3125 43.912411)
46600,-100.304362,43.912414,,POINT (-100.304362 43.912414)
46601,-100.051782,43.898533,,POINT (-100.051782 43.898533)
46602,-100.045319,43.898121,,POINT (-100.045319 43.898121)
46603,-100.038941,43.897847,,POINT (-100.038941 43.897847)
46604,-99.610723,43.866086,,POINT (-99.610723 43.866086)
46605,-99.605553,43.86433,,POINT (-99.605553 43.86433)
46606,-99.599538,43.862247,,POINT (-99.599538 43.862247)
46607,-99.568564,43.85157,,POINT (-99.568564 43.85157)
