node_id,x_coord,y_coord,Centroid,zone_id,geometry
223955,-110.331113,33.956819,,,POINT(-110.331113 33.956819)
223954,-110.462458,33.821156,,,POINT(-110.462458 33.821156)
223953,-110.4493,33.832687,,,POINT(-110.4493 33.832687)
223952,-110.510767,33.767465,,,POINT(-110.510767 33.767465)
223951,-110.503595,33.787826,,,POINT(-110.503595 33.787826)
223950,-110.724834,33.43261,,,POINT(-110.724834 33.43261)
223949,-110.770926,33.395882,,,POINT(-110.770926 33.395882)
223948,-110.76927,33.395194,,,POINT(-110.76927 33.395194)
223947,-110.782283,33.392695,,,POINT(-110.782283 33.392695)
223946,-110.777983,33.394186,,,POINT(-110.777983 33.394186)
223945,-110.793364,33.407996,,,POINT(-110.793364 33.407996)
223944,-110.792038,33.401661,,,POINT(-110.792038 33.401661)
223943,-110.737122,33.366744,,,POINT(-110.737122 33.366744)
223942,-110.738243,33.372901,,,POINT(-110.738243 33.372901)
223941,-110.673247,33.356494,,,POINT(-110.673247 33.356494)
223940,-110.650267,33.352038,,,POINT(-110.650267 33.352038)
223939,-110.646441,33.351289,,,POINT(-110.646441 33.351289)
223938,-110.562196,33.328486,,,POINT(-110.562196 33.328486)
223937,-110.478695,33.303594,,,POINT(-110.478695 33.303594)
223936,-110.458895,33.298403,,,POINT(-110.458895 33.298403)
223935,-110.432191,33.292384,,,POINT(-110.432191 33.292384)
223934,-110.401432,33.288968,,,POINT(-110.401432 33.288968)
223933,-110.125867,33.146518,,,POINT(-110.125867 33.146518)
223932,-110.111799,33.121681,,,POINT(-110.111799 33.121681)
223931,-110.085065,33.105448,,,POINT(-110.085065 33.105448)
223930,-109.972643,33.03968,,,POINT(-109.972643 33.03968)
223929,-109.964369,33.036736,,,POINT(-109.964369 33.036736)
223928,-109.958402,33.031451,,,POINT(-109.958402 33.031451)
223927,-109.92019,32.961817,,,POINT(-109.92019 32.961817)
223926,-109.842034,32.90154,,,POINT(-109.842034 32.90154)
223925,-109.8403,32.900072,,,POINT(-109.8403 32.900072)
223924,-109.819456,32.892536,,,POINT(-109.819456 32.892536)
223923,-109.816187,32.888966,,,POINT(-109.816187 32.888966)
223922,-109.812493,32.885393,,,POINT(-109.812493 32.885393)
223921,-109.750002,32.848793,,,POINT(-109.750002 32.848793)
223920,-109.747976,32.848015,,,POINT(-109.747976 32.848015)
223919,-109.798561,32.301305,,,POINT(-109.798561 32.301305)
223918,-109.796741,32.306052,,,POINT(-109.796741 32.306052)
223917,-109.825103,32.263267,,,POINT(-109.825103 32.263267)
223916,-109.818469,32.272776,,,POINT(-109.818469 32.272776)
223915,-109.83819,32.243912,,,POINT(-109.83819 32.243912)
223914,-109.835223,32.248193,,,POINT(-109.835223 32.248193)
223913,-109.869129,32.224431,,,POINT(-109.869129 32.224431)
223912,-109.872627,32.222341,,,POINT(-109.872627 32.222341)
223911,-110.072417,31.721776,,,POINT(-110.072417 31.721776)
223910,-110.07448,31.724393,,,POINT(-110.07448 31.724393)
223909,-110.085914,31.737799,,,POINT(-110.085914 31.737799)
223908,-110.255059,31.907129,,,POINT(-110.255059 31.907129)
223907,-110.251242,31.905555,,,POINT(-110.251242 31.905555)
223906,-110.227124,31.905288,,,POINT(-110.227124 31.905288)
223905,-110.219238,31.905269,,,POINT(-110.219238 31.905269)
223904,-110.213508,31.902258,,,POINT(-110.213508 31.902258)
223903,-110.211762,31.878882,,,POINT(-110.211762 31.878882)
223902,-110.205981,31.864432,,,POINT(-110.205981 31.864432)
223901,-110.204635,31.861977,,,POINT(-110.204635 31.861977)
223900,-110.02276,31.517147,,,POINT(-110.02276 31.517147)
223899,-110.019237,31.516507,,,POINT(-110.019237 31.516507)
223898,-110.188303,31.551451,,,POINT(-110.188303 31.551451)
223897,-110.102414,31.548263,,,POINT(-110.102414 31.548263)
223896,-110.185336,31.723186,,,POINT(-110.185336 31.723186)
223895,-110.146285,31.74448,,,POINT(-110.146285 31.74448)
223894,-110.199269,31.723211,,,POINT(-110.199269 31.723211)
223893,-110.099509,31.748125,,,POINT(-110.099509 31.748125)
223892,-110.097351,31.748783,,,POINT(-110.097351 31.748783)
223891,-110.34976,31.661842,,,POINT(-110.34976 31.661842)
223890,-110.350412,31.71219,,,POINT(-110.350412 31.71219)
223889,-110.350413,31.707329,,,POINT(-110.350413 31.707329)
223888,-110.350351,31.675466,,,POINT(-110.350351 31.675466)
223887,-110.350007,31.661914,,,POINT(-110.350007 31.661914)
223886,-110.350138,31.692755,,,POINT(-110.350138 31.692755)
223885,-110.3502,31.711064,,,POINT(-110.3502 31.711064)
223884,-110.346479,31.820244,,,POINT(-110.346479 31.820244)
223883,-110.341938,31.8426,,,POINT(-110.341938 31.8426)
223882,-110.342265,31.842664,,,POINT(-110.342265 31.842664)
223881,-110.346809,31.820296,,,POINT(-110.346809 31.820296)
223880,-110.340963,31.867812,,,POINT(-110.340963 31.867812)
223879,-110.344793,31.960311,,,POINT(-110.344793 31.960311)
223878,-110.652736,31.673772,,,POINT(-110.652736 31.673772)
223877,-110.756352,33.277825,,,POINT(-110.756352 33.277825)
223876,-110.776816,33.257942,,,POINT(-110.776816 33.257942)
223875,-110.767217,33.267933,,,POINT(-110.767217 33.267933)
223874,-110.792466,33.219769,,,POINT(-110.792466 33.219769)
223873,-110.783796,33.238626,,,POINT(-110.783796 33.238626)
223872,-110.804537,33.152107,,,POINT(-110.804537 33.152107)
223871,-110.728418,33.094373,,,POINT(-110.728418 33.094373)
223870,-110.771616,33.117619,,,POINT(-110.771616 33.117619)
223869,-110.724251,33.063053,,,POINT(-110.724251 33.063053)
223868,-110.83813,33.44541,,,POINT(-110.83813 33.44541)
223867,-110.825753,33.420148,,,POINT(-110.825753 33.420148)
223866,-110.831248,33.441129,,,POINT(-110.831248 33.441129)
223865,-110.965578,34.083917,,,POINT(-110.965578 34.083917)
223864,-110.962776,34.101445,,,POINT(-110.962776 34.101445)
223863,-110.978756,33.694401,,,POINT(-110.978756 33.694401)
223862,-110.97072,33.886263,,,POINT(-110.97072 33.886263)
223861,-111.310124,33.856521,,,POINT(-111.310124 33.856521)
223860,-111.315043,33.867676,,,POINT(-111.315043 33.867676)
223859,-111.314627,33.879067,,,POINT(-111.314627 33.879067)
223858,-111.356985,34.032153,,,POINT(-111.356985 34.032153)
223857,-111.367571,34.036468,,,POINT(-111.367571 34.036468)
223856,-111.368009,34.036307,,,POINT(-111.368009 34.036307)
223855,-111.401242,33.958741,,,POINT(-111.401242 33.958741)
223854,-111.335837,34.169389,,,POINT(-111.335837 34.169389)
223853,-111.332123,34.215888,,,POINT(-111.332123 34.215888)
223852,-111.331777,34.21582,,,POINT(-111.331777 34.21582)
223851,-110.615806,34.438108,,,POINT(-110.615806 34.438108)
223850,-110.415609,34.365135,,,POINT(-110.415609 34.365135)
223849,-110.542841,34.431981,,,POINT(-110.542841 34.431981)
223848,-110.447485,34.455322,,,POINT(-110.447485 34.455322)
223847,-110.390768,34.461049,,,POINT(-110.390768 34.461049)
223846,-110.467879,34.475032,,,POINT(-110.467879 34.475032)
223845,-110.178219,34.844571,,,POINT(-110.178219 34.844571)
223844,-110.177738,34.509063,,,POINT(-110.177738 34.509063)
223843,-110.167117,34.511048,,,POINT(-110.167117 34.511048)
223842,-110.13469,34.512951,,,POINT(-110.13469 34.512951)
223841,-110.090294,34.513309,,,POINT(-110.090294 34.513309)
223840,-110.079323,34.542909,,,POINT(-110.079323 34.542909)
223839,-110.089507,34.607049,,,POINT(-110.089507 34.607049)
223838,-109.987149,34.261881,,,POINT(-109.987149 34.261881)
223837,-109.973072,34.263037,,,POINT(-109.973072 34.263037)
223836,-110.0829,34.486025,,,POINT(-110.0829 34.486025)
223835,-110.079076,34.499716,,,POINT(-110.079076 34.499716)
223834,-110.085095,34.478023,,,POINT(-110.085095 34.478023)
223833,-110.175137,34.848822,,,POINT(-110.175137 34.848822)
223832,-110.165896,34.86158,,,POINT(-110.165896 34.86158)
223831,-110.159901,34.868339,,,POINT(-110.159901 34.868339)
223830,-110.157309,34.863943,,,POINT(-110.157309 34.863943)
223829,-110.162588,34.886587,,,POINT(-110.162588 34.886587)
223828,-110.133268,34.885932,,,POINT(-110.133268 34.885932)
223827,-109.999282,34.858383,,,POINT(-109.999282 34.858383)
223826,-110.160141,34.893814,,,POINT(-110.160141 34.893814)
223825,-110.130269,34.939152,,,POINT(-110.130269 34.939152)
223824,-110.625831,35.027707,,,POINT(-110.625831 35.027707)
223823,-110.433643,35.227492,,,POINT(-110.433643 35.227492)
223822,-110.635877,35.016971,,,POINT(-110.635877 35.016971)
223821,-110.642767,35.007044,,,POINT(-110.642767 35.007044)
223820,-110.647083,34.962998,,,POINT(-110.647083 34.962998)
223819,-110.686786,35.002983,,,POINT(-110.686786 35.002983)
223818,-110.703985,35.006399,,,POINT(-110.703985 35.006399)
223817,-110.719485,34.97972,,,POINT(-110.719485 34.97972)
