node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry
20397,,-112.097583,33.583888,,,0,0.100000,0.100000,"POINT (-112.097583 33.583888)"
20426,,-112.099629,33.570852,,,0,0.100000,0.100000,"POINT (-112.099629 33.570852)"
20515,,-112.117282,33.593778,,,0,0.100000,0.100000,"POINT (-112.117282 33.593778)"
20399,,-112.116864,33.570104,,,0,0.100000,0.100000,"POINT (-112.116864 33.570104)"
20400,,-112.116695,33.574766,,,0,0.100000,0.100000,"POINT (-112.116695 33.574766)"
20401,,-112.120331,33.567504,,,0,0.100000,0.100000,"POINT (-112.120331 33.567504)"
20402,,-112.123728,33.572684,,,0,0.100000,0.100000,"POINT (-112.123728 33.572684)"
20405,,-112.117198,33.574460,,,0,0.100000,0.100000,"POINT (-112.117198 33.574460)"
20406,,-112.116311,33.563013,,,0,0.100000,0.100000,"POINT (-112.116311 33.563013)"
20407,,-112.116935,33.573293,,,0,0.100000,0.100000,"POINT (-112.116935 33.573293)"
20408,,-112.107634,33.567442,,,0,0.100000,0.100000,"POINT (-112.107634 33.567442)"
20409,,-112.108088,33.573892,,,0,0.100000,0.100000,"POINT (-112.108088 33.573892)"
20410,,-112.124514,33.573972,,,0,0.100000,0.100000,"POINT (-112.124514 33.573972)"
20411,,-112.116149,33.563300,,,0,0.100000,0.100000,"POINT (-112.116149 33.563300)"
20412,,-112.114832,33.560402,,,0,0.100000,0.100000,"POINT (-112.114832 33.560402)"
20413,,-112.114335,33.560321,,,0,0.100000,0.100000,"POINT (-112.114335 33.560321)"
20414,,-112.116582,33.565101,,,0,0.100000,0.100000,"POINT (-112.116582 33.565101)"
20415,,-112.117097,33.574753,,,0,0.100000,0.100000,"POINT (-112.117097 33.574753)"
20416,,-112.117297,33.570675,,,0,0.100000,0.100000,"POINT (-112.117297 33.570675)"
20417,,-112.117196,33.570570,,,0,0.100000,0.100000,"POINT (-112.117196 33.570570)"
20418,,-112.116932,33.574769,,,0,0.100000,0.100000,"POINT (-112.116932 33.574769)"
20419,,-112.117031,33.565300,,,0,0.100000,0.100000,"POINT (-112.117031 33.565300)"
20420,,-112.114785,33.560425,,,0,0.100000,0.100000,"POINT (-112.114785 33.560425)"
20421,,-112.114647,33.560437,,,0,0.100000,0.100000,"POINT (-112.114647 33.560437)"
20422,,-112.116917,33.565302,,,0,0.100000,0.100000,"POINT (-112.116917 33.565302)"
20423,,-112.114608,33.560456,,,0,0.100000,0.100000,"POINT (-112.114608 33.560456)"
20424,,-112.120855,33.567509,,,0,0.100000,0.100000,"POINT (-112.120855 33.567509)"
20427,,-112.116121,33.581901,,,0,0.100000,0.100000,"POINT (-112.116121 33.581901)"
20428,,-112.115660,33.581974,,,0,0.100000,0.100000,"POINT (-112.115660 33.581974)"
20429,,-112.116325,33.582054,,,0,0.100000,0.100000,"POINT (-112.116325 33.582054)"
20432,,-112.116417,33.567458,,,0,0.100000,0.100000,"POINT (-112.116417 33.567458)"
20425,,-112.112531,33.567511,,,0,0.100000,0.100000,"POINT (-112.112531 33.567511)"
20433,,-112.115820,33.567652,,,0,0.100000,0.100000,"POINT (-112.115820 33.567652)"
20435,,-112.116980,33.563827,,,0,0.100000,0.100000,"POINT (-112.116980 33.563827)"
