name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
,54,23807822,1524,610,1,87.64436219,2,72.0,,motorway,1,"LINESTRING (-112.0309021 33.6722613, -112.0307691 33.6721272, -112.0306855 33.6720776, -112.0305745 33.672036, -112.0303945 33.6720076, -112.0300674 33.6720473)",auto,0,1,,
,55,23807857,2019,713,1,65.5217433,2,72.0,,motorway,1,"LINESTRING (-112.0310971 33.6726609, -112.0312218 33.6726333, -112.0317842 33.6725187)",auto,0,1,,
,56,23811063,642,647,1,197.8751539,2,72.0,,motorway,1,"LINESTRING (-112.1129771 33.6657089, -112.1129512 33.665962, -112.1128927 33.6663316, -112.112827 33.6666168, -112.1127883 33.666863, -112.1127493 33.6671745, -112.1127639 33.6674751)",auto,0,1,,
,57,23811069,640,652,1,27.88103516,2,,,motorway,1,"LINESTRING (-112.1269041 33.6686161, -112.1266292 33.6685135)",auto,0,1,,
,58,23811073,656,602,1,969.5527889,1,72.0,,motorway,1,"LINESTRING (-112.118306 33.6683088, -112.1179949 33.6683236, -112.1170267 33.6683114, -112.1162941 33.668301, -112.1156617 33.6682846, -112.1153088 33.6682882, -112.1150076 33.6683074, -112.1147295 33.66836, -112.1144251 33.6684444, -112.1141345 33.668553, -112.113877 33.6686825, -112.1136749 33.6688061, -112.1134374 33.6689825, -112.1132469 33.6691623, -112.1130329 33.6694027, -112.1129329 33.6695352, -112.1128631 33.6696468, -112.1127612 33.6698968, -112.1126753 33.6701424, -112.1126056 33.6704727, -112.112611 33.6709549, -112.1126298 33.6732754)",auto,0,1,,
,59,23811086,521,660,1,667.557287,2,72.0,,motorway,1,"LINESTRING (-112.1082977 33.6692183, -112.1084212 33.6691875, -112.1090467 33.6692012, -112.1095784 33.6692119, -112.1100387 33.6692209, -112.110327 33.6692266, -112.1105132 33.6692304, -112.1106435 33.6692319, -112.1110803 33.6692365, -112.1114128 33.6692272, -112.1117329 33.6691951, -112.1121025 33.6691227, -112.1123937 33.6690317, -112.1126163 33.6689436, -112.1126848 33.6689125, -112.1128476 33.6688311, -112.1130644 33.668704, -112.1131675 33.6686305, -112.1133551 33.6684967, -112.113529 33.6683373, -112.1137741 33.6680644, -112.1139601 33.6677726, -112.1140427 33.6676196, -112.1141648 33.6673208, -112.1142147 33.6670993)",auto,0,1,,
,60,23811094,662,770,1,148.4295782,1,,,motorway,1,"LINESTRING (-112.1137443 33.6722848, -112.1138675 33.6719029, -112.1139699 33.6714909, -112.114005 33.671378, -112.1140415 33.6712674, -112.114094 33.6711296, -112.1141566 33.6709966)",auto,0,1,,
,61,23811096,519,664,1,565.4881126,1,72.0,,motorway,1,"LINESTRING (-112.1073099 33.6688778, -112.1075553 33.6689325, -112.1076665 33.6689421, -112.1083364 33.6689759, -112.1090505 33.6690229, -112.1095754 33.669061, -112.1100491 33.6691443, -112.1103271 33.6691993, -112.1106441 33.66928, -112.1110832 33.6693761, -112.1114081 33.6694577, -112.1121443 33.6696156, -112.112892 33.6697418, -112.1132954 33.6698132)",auto,0,1,,
,62,23811118,612,710,1,130.5893257,2,72.0,,motorway,1,"LINESTRING (-112.0329103 33.6722658, -112.0332283 33.6721414, -112.0337865 33.6719826, -112.0342237 33.6718393)",auto,0,1,,
,63,23811121,504,711,1,362.4486683,1,72.0,,motorway,1,"LINESTRING (-112.037877 33.6700135, -112.037489 33.6701083, -112.0369773 33.6702649, -112.0364927 33.6704126, -112.0354641 33.6707133, -112.0341895 33.6711099)",auto,0,1,,
