,long,lat,order,piece,linkid,group,citycode
89663,-2.233392,53.488398,3,1,54,54.1,manchester
89664,-2.233181,53.488257,4,1,54,54.1,manchester
89665,-2.2328959999999998,53.48804200000001,5,1,54,54.1,manchester
89666,-2.238593,53.487196,1,1,55,55.1,manchester
89667,-2.23866,53.487217,2,1,55,55.1,manchester
89668,-2.239516,53.487556999999995,3,1,55,55.1,manchester
89669,-2.23972,53.487662,4,1,55,55.1,manchester
89670,-2.238604,53.487165000000005,1,1,56,56.1,manchester
89671,-2.23868,53.487187,2,1,56,56.1,manchester
89672,-2.239569,53.487531999999995,3,1,56,56.1,manchester
89673,-2.239746,53.487634,4,1,56,56.1,manchester
89674,-2.236238,53.486427,1,1,57,57.1,manchester
89675,-2.2362900000000003,53.486458,2,1,57,57.1,manchester
89676,-2.238448,53.48713299999999,3,1,57,57.1,manchester
89677,-2.235938,53.486171999999996,1,1,58,58.1,manchester
89678,-2.23616,53.486068,2,1,58,58.1,manchester
89679,-2.236925,53.485717,3,1,58,58.1,manchester
89680,-2.2371659999999998,53.485664,1,1,59,59.1,manchester
89681,-2.23706,53.485707999999995,2,1,59,59.1,manchester
89682,-2.236321,53.486063,3,1,59,59.1,manchester
89683,-2.236198,53.486148,4,1,59,59.1,manchester
89684,-2.240471,53.486683,1,1,60,60.1,manchester
89685,-2.239199,53.48625799999999,2,1,60,60.1,manchester
89686,-2.2378709999999997,53.485834999999994,3,1,60,60.1,manchester
89687,-2.23751,53.485718000000006,4,1,60,60.1,manchester
89688,-2.238486,53.484988,1,1,61,61.1,manchester
89689,-2.23815,53.485155000000006,2,1,61,61.1,manchester
89690,-2.237346,53.485546,3,1,61,61.1,manchester
89691,-2.2447939999999997,53.486887,1,1,62,62.1,manchester
89692,-2.244842,53.487075,2,1,62,62.1,manchester
89693,-2.245674,53.488288,3,1,62,62.1,manchester
89694,-2.2405459999999997,53.48731899999999,1,1,63,63.1,manchester
89695,-2.24053,53.487347,2,1,63,63.1,manchester
89696,-2.24032,53.487738,3,1,63,63.1,manchester
89697,-2.232644,53.48505600000001,1,1,64,64.1,manchester
89698,-2.2326200000000003,53.485079000000006,2,1,64,64.1,manchester
89699,-2.232097,53.485323,3,1,64,64.1,manchester
89700,-2.231933,53.485237,1,1,65,65.1,manchester
89701,-2.2320189999999998,53.485202,2,1,65,65.1,manchester
89702,-2.232504,53.484975,3,1,65,65.1,manchester
89703,-2.231877,53.4852,1,1,66,66.1,manchester
89704,-2.231986,53.485158,2,1,66,66.1,manchester
89705,-2.232491,53.484922,3,1,66,66.1,manchester
89706,-2.232928,53.484838,1,1,67,67.1,manchester
89707,-2.233071,53.484848,2,1,67,67.1,manchester
89708,-2.235734,53.486188,3,1,67,67.1,manchester
89709,-2.232491,53.484922,1,1,68,68.1,manchester
89710,-2.232647,53.484818000000004,2,1,68,68.1,manchester
89711,-2.232577,53.484704,3,1,68,68.1,manchester
89712,-2.231732,53.484271,4,1,68,68.1,manchester
89713,-2.2318689999999997,53.484191,1,1,69,69.1,manchester
89714,-2.231922,53.484212,2,1,69,69.1,manchester
89715,-2.232625,53.4846,3,1,69,69.1,manchester
89716,-2.231732,53.484271,1,1,70,70.1,manchester
89717,-2.231461,53.484108,2,1,70,70.1,manchester
89718,-2.230702,53.483748,3,1,70,70.1,manchester
89719,-2.2307240000000004,53.483601,1,1,71,71.1,manchester
89720,-2.230785,53.483623,2,1,71,71.1,manchester
89721,-2.2318689999999997,53.484191,3,1,71,71.1,manchester
89722,-2.230184,53.483447999999996,1,1,72,72.1,manchester
89723,-2.230164,53.483429,2,1,72,72.1,manchester
89724,-2.2288650000000003,53.482723,3,1,72,72.1,manchester
89725,-2.229038,53.482668000000004,1,1,73,73.1,manchester
89726,-2.229181,53.482748,2,1,73,73.1,manchester
89727,-2.230251,53.483388,3,1,73,73.1,manchester
89728,-2.2288650000000003,53.482723,1,1,74,74.1,manchester
89729,-2.2287790000000003,53.482670999999996,2,1,74,74.1,manchester
89730,-2.228151,53.482298,3,1,74,74.1,manchester
89731,-2.228151,53.482298,1,1,75,75.1,manchester
89732,-2.228022,53.482223,2,1,75,75.1,manchester
89733,-2.2275240000000003,53.481939000000004,3,1,75,75.1,manchester
89734,-2.226909,53.481697,4,1,75,75.1,manchester
89735,-2.2281,53.482161,1,1,76,76.1,manchester
89736,-2.2281880000000003,53.482206000000005,2,1,76,76.1,manchester
89737,-2.228859,53.482581999999994,3,1,76,76.1,manchester
89738,-2.229038,53.482668000000004,4,1,76,76.1,manchester
89739,-2.2265900000000003,53.481435999999995,1,1,77,77.1,manchester
89740,-2.2269919999999996,53.481566,2,1,77,77.1,manchester
89741,-2.2271,53.481603,3,1,77,77.1,manchester
89742,-2.2281,53.482161,4,1,77,77.1,manchester
89743,-2.226909,53.481697,1,1,78,78.1,manchester
89744,-2.226467,53.481508,2,1,78,78.1,manchester
89745,-2.226255,53.481448,3,1,78,78.1,manchester
89746,-2.225756,53.48129399999999,4,1,78,78.1,manchester
89747,-2.225284,53.48114399999999,5,1,78,78.1,manchester
89748,-2.224774,53.480916,6,1,78,78.1,manchester
89749,-2.224396,53.480573,1,1,79,79.1,manchester
89750,-2.224777,53.48078,2,1,79,79.1,manchester
89751,-2.2248740000000002,53.480833,3,1,79,79.1,manchester
89752,-2.225971,53.481211,4,1,79,79.1,manchester
89753,-2.2265900000000003,53.481435999999995,5,1,79,79.1,manchester
89754,-2.224774,53.480916,1,1,80,80.1,manchester
89755,-2.224332,53.480658,2,1,80,80.1,manchester
89756,-2.2242,53.480596999999996,3,1,80,80.1,manchester
89757,-2.223557,53.48007,4,1,80,80.1,manchester
89758,-2.2228380000000003,53.479636,5,1,80,80.1,manchester
89759,-2.222545,53.479328,1,1,81,81.1,manchester
89760,-2.222988,53.479597999999996,2,1,81,81.1,manchester
89761,-2.223648,53.479963,3,1,81,81.1,manchester
89762,-2.224396,53.480573,4,1,81,81.1,manchester
89763,-2.221931,53.479114,1,1,82,82.1,manchester
89764,-2.221549,53.478911,2,1,82,82.1,manchester
89765,-2.220917,53.478527,3,1,82,82.1,manchester
89766,-2.220475,53.478378,4,1,82,82.1,manchester
89767,-2.21992,53.478294999999996,5,1,82,82.1,manchester
89768,-2.219016,53.478182999999994,6,1,82,82.1,manchester
89769,-2.219268,53.478106999999994,1,1,83,83.1,manchester
89770,-2.219343,53.478116,2,1,83,83.1,manchester
89771,-2.2203459999999997,53.478273,3,1,83,83.1,manchester
89772,-2.220791,53.478391,4,1,83,83.1,manchester
89773,-2.221612,53.478811,5,1,83,83.1,manchester
89774,-2.219,53.478196,1,1,84,84.1,manchester
89775,-2.218857,53.478182,2,1,84,84.1,manchester
89776,-2.218613,53.478142000000005,3,1,84,84.1,manchester
89777,-2.21821,53.477956000000006,4,1,84,84.1,manchester
89778,-2.218037,53.477782999999995,5,1,84,84.1,manchester
89779,-2.217894,53.47750500000001,6,1,84,84.1,manchester
89780,-2.217825,53.477087,7,1,84,84.1,manchester
89781,-2.217768,53.476686,8,1,84,84.1,manchester
89782,-2.2177580000000003,53.47658199999999,9,1,84,84.1,manchester
89783,-2.219008,53.478168999999994,1,1,85,85.1,manchester
89784,-2.218651,53.478113,2,1,85,85.1,manchester
89785,-2.21825,53.477939,3,1,85,85.1,manchester
89786,-2.2180880000000003,53.477765000000005,4,1,85,85.1,manchester
89787,-2.21794,53.47744599999999,5,1,85,85.1,manchester
89788,-2.217849,53.476999,6,1,85,85.1,manchester
89789,-2.217827,53.476579,7,1,85,85.1,manchester
89790,-2.218082,53.476243999999994,1,1,86,86.1,manchester
89791,-2.21797,53.476386,2,1,86,86.1,manchester
89792,-2.217946,53.47658199999999,3,1,86,86.1,manchester
89793,-2.2180470000000003,53.477141,4,1,86,86.1,manchester
89794,-2.218195,53.47756999999999,5,1,86,86.1,manchester
89795,-2.21833,53.477812,6,1,86,86.1,manchester
89796,-2.2185639999999998,53.477941,7,1,86,86.1,manchester
89797,-2.218053,53.477151,1,1,87,87.1,manchester
89798,-2.218058,53.477359,2,1,87,87.1,manchester
89799,-2.21807,53.477557999999995,3,1,87,87.1,manchester
89800,-2.218259,53.477869999999996,4,1,87,87.1,manchester
89801,-2.218506,53.478003,5,1,87,87.1,manchester
89802,-2.2186049999999997,53.478067,6,1,87,87.1,manchester
89803,-2.2186209999999997,53.478179000000004,7,1,87,87.1,manchester
89804,-2.21857,53.478239,8,1,87,87.1,manchester
89805,-2.21857,53.478239,1,1,88,88.1,manchester
89806,-2.218522,53.478271,2,1,88,88.1,manchester
89807,-2.217962,53.478646,3,1,88,88.1,manchester
89808,-2.217902,53.478621,1,1,89,89.1,manchester
89809,-2.217909,53.478614,2,1,89,89.1,manchester
89810,-2.218468,53.478202,3,1,89,89.1,manchester
89811,-2.2176259999999997,53.476305,1,1,90,90.1,manchester
89812,-2.217594,53.476238,2,1,90,90.1,manchester
89813,-2.2174650000000002,53.476018999999994,3,1,90,90.1,manchester
89814,-2.216926,53.475505000000005,4,1,90,90.1,manchester
89815,-2.216871,53.475264,1,1,91,91.1,manchester
89816,-2.217083,53.475497,2,1,91,91.1,manchester
89817,-2.217318,53.475667,3,1,91,91.1,manchester
89818,-2.217628,53.475963,4,1,91,91.1,manchester
89819,-2.217767,53.476169999999996,5,1,91,91.1,manchester
89820,-2.217827,53.476579,1,1,92,92.1,manchester
89821,-2.2178299999999997,53.476324,2,1,92,92.1,manchester
