corridor_id,agent_id,date,utd,trace_id,hh,mm,ss,y_coord,x_coord
Oldham Road,46,,89623,0,,None,,53.485981,-2.229993
Oldham Road,46,,89624,1,,None,,53.485939,-2.23008
Oldham Road,46,,89625,2,,None,,53.485486,-2.231474
Bromley Street,47,,89626,0,,None,,53.490038,-2.23481
Bromley Street,47,,89627,1,,None,,53.49019200000001,-2.234559
Bromley Street,47,,89628,2,,None,,53.490246,-2.234429
Bromley Street,47,,89629,3,,None,,53.490464,-2.233546
Bromley Street,47,,89630,4,,None,,53.490765,-2.232193
Bromley Street,47,,89631,5,,None,,53.49110200000001,-2.2299
Bromley Street,47,,89632,6,,None,,53.491189,-2.229114
Bromley Street,47,,89633,7,,None,,53.491157,-2.228894
Bromley Street,47,,89634,8,,None,,53.4909,-2.2282990000000003
Livesey Street,48,,89635,0,,None,,53.488425,-2.224026
Livesey Street,48,,89636,1,,None,,53.489035,-2.224951
Livesey Street,48,,89637,2,,None,,53.48978100000001,-2.226172
Livesey Street,48,,89638,3,,None,,53.490352,-2.22706
Livesey Street,48,,89639,4,,None,,53.49079,-2.227736
Oldham Road,49,,89640,0,,None,,53.488136,-2.224117
Oldham Road,49,,89641,1,,None,,53.488127,-2.22416
Oldham Road,49,,89642,2,,None,,53.487366,-2.226089
Oldham Road,49,,89643,3,,None,,53.48685500000001,-2.22756
Oldham Road,49,,89644,4,,None,,53.486166,-2.229468
Addington Street,50,,89645,0,,None,,53.48684100000001,-2.234747
Addington Street,50,,89646,1,,None,,53.48662,-2.234344
Addington Street,50,,89647,2,,None,,53.48604,-2.233187
Addington Street,50,,89648,3,,None,,53.485489,-2.23207
Rochdale Road,51,,89649,0,,None,,53.486739,-2.235144
Rochdale Road,51,,89650,1,,None,,53.48670799999999,-2.2352
Rochdale Road,51,,89651,2,,None,,53.48645,-2.235643
Rochdale Road,52,,89652,0,,None,,53.486711,-2.235109
Rochdale Road,52,,89653,1,,None,,53.486687,-2.235162
Rochdale Road,52,,89654,2,,None,,53.486426,-2.235589
Rochdale Road,53,,89655,0,,None,,53.486521,-2.235774
Rochdale Road,53,,89656,1,,None,,53.486538,-2.23575
Rochdale Road,53,,89657,2,,None,,53.48678,-2.235368
Rochdale Road,54,,89658,0,,None,,53.486485,-2.235719
Rochdale Road,54,,89659,1,,None,,53.48650799999999,-2.23569
Rochdale Road,54,,89660,2,,None,,53.486755,-2.235321
Ludgate Hill,55,,89661,0,,None,,53.489236,-2.234473
Ludgate Hill,55,,89662,1,,None,,53.48893,-2.234087
Ludgate Hill,55,,89663,2,,None,,53.488398,-2.233392
Ludgate Hill,55,,89664,3,,None,,53.488257,-2.233181
Ludgate Hill,55,,89665,4,,None,,53.48804200000001,-2.232896
Miller Street,56,,89666,0,,None,,53.487196,-2.238593
Miller Street,56,,89667,1,,None,,53.487217,-2.23866
Miller Street,56,,89668,2,,None,,53.487557,-2.239516
