,utd,utd_long,utd_lat,order,piece,linkid,group,utd_citycode
169,89567,-2.2388,53.488684,4,1,31,31.1,manchester
170,89568,-2.238416,53.48869300000001,5,1,31,31.1,manchester
171,89569,-2.238057,53.488652,6,1,31,31.1,manchester
172,89570,-2.23921,53.48833199999999,1,1,32,32.1,manchester
173,89571,-2.239105,53.48849300000001,2,1,32,32.1,manchester
174,89572,-2.2389900000000003,53.488547,3,1,32,32.1,manchester
175,89573,-2.238757,53.488637,4,1,32,32.1,manchester
176,89574,-2.238385,53.488636,5,1,32,32.1,manchester
177,89575,-2.238084,53.488604,6,1,32,32.1,manchester
178,89576,-2.239307,53.488239,1,1,33,33.1,manchester
179,89577,-2.23938,53.488187,2,1,33,33.1,manchester
180,89578,-2.23964,53.487971,3,1,33,33.1,manchester
181,89579,-2.239694,53.487904,4,1,33,33.1,manchester
182,89580,-2.237344,53.48935,1,1,34,34.1,manchester
183,89581,-2.237306,53.48925500000001,2,1,34,34.1,manchester
184,89582,-2.23733,53.48917700000001,3,1,34,34.1,manchester
185,89583,-2.237636,53.488749,4,1,34,34.1,manchester
186,89584,-2.237512,53.488582,1,1,35,35.1,manchester
187,89585,-2.23745,53.488579,2,1,35,35.1,manchester
188,89586,-2.237043,53.488476,3,1,35,35.1,manchester
189,89587,-2.236753,53.488325,4,1,35,35.1,manchester
190,89588,-2.236469,53.488063,5,1,35,35.1,manchester
191,89589,-2.237518,53.488547,1,1,36,36.1,manchester
192,89590,-2.237469,53.488548,2,1,36,36.1,manchester
193,89591,-2.237064,53.488436,3,1,36,36.1,manchester
194,89592,-2.236785,53.488285,4,1,36,36.1,manchester
195,89593,-2.236512,53.488049,5,1,36,36.1,manchester
196,89594,-2.236469,53.488063,1,1,37,37.1,manchester
197,89595,-2.236316,53.487903,2,1,37,37.1,manchester
198,89596,-2.235565,53.487288,3,1,37,37.1,manchester
199,89597,-2.236512,53.488049,1,1,38,38.1,manchester
200,89598,-2.236359,53.487886,2,1,38,38.1,manchester
201,89599,-2.235629,53.487267,3,1,38,38.1,manchester
202,89600,-2.234964,53.487008,1,1,39,39.1,manchester
203,89601,-2.23491,53.487028,2,1,39,39.1,manchester
204,89602,-2.233277,53.48775,3,1,39,39.1,manchester
205,89603,-2.232676,53.48798000000001,1,1,40,40.1,manchester
206,89604,-2.232623,53.488008,2,1,40,40.1,manchester
207,89605,-2.232287,53.48814,3,1,40,40.1,manchester
208,89606,-2.231636,53.488365,4,1,40,40.1,manchester
209,89607,-2.231461,53.488435,5,1,40,40.1,manchester
210,89608,-2.230968,53.488772,6,1,40,40.1,manchester
211,89609,-2.230073,53.489406,7,1,40,40.1,manchester
212,89610,-2.228334,53.49064,8,1,40,40.1,manchester
213,89611,-2.233095,53.48770699999999,1,1,41,41.1,manchester
214,89612,-2.233141,53.487687,2,1,41,41.1,manchester
215,89613,-2.234728,53.48696,3,1,41,41.1,manchester
216,89614,-2.232802,53.487763,1,1,42,42.1,manchester
217,89615,-2.232718,53.487730000000006,2,1,42,42.1,manchester
218,89616,-2.229914,53.486234,3,1,42,42.1,manchester
219,89617,-2.229962,53.486185,1,1,43,43.1,manchester
220,89618,-2.230101,53.48625799999999,2,1,43,43.1,manchester
221,89619,-2.232758,53.487678,3,1,43,43.1,manchester
222,89620,-2.231611,53.48550899999999,1,1,44,44.1,manchester
223,89621,-2.231587,53.485518000000006,2,1,44,44.1,manchester
224,89622,-2.230121,53.486032,3,1,44,44.1,manchester
225,89623,-2.229993,53.485981,1,1,45,45.1,manchester
226,89624,-2.23008,53.485939,2,1,45,45.1,manchester
227,89625,-2.231474,53.485486,3,1,45,45.1,manchester
228,89626,-2.23481,53.490038,1,1,46,46.1,manchester
229,89627,-2.234559,53.49019200000001,2,1,46,46.1,manchester
230,89628,-2.234429,53.490246,3,1,46,46.1,manchester
231,89629,-2.233546,53.490464,4,1,46,46.1,manchester
232,89630,-2.232193,53.490765,5,1,46,46.1,manchester
233,89631,-2.2299,53.49110200000001,6,1,46,46.1,manchester
234,89632,-2.229114,53.491189,7,1,46,46.1,manchester
235,89633,-2.228894,53.491157,8,1,46,46.1,manchester
236,89634,-2.2282990000000003,53.4909,9,1,46,46.1,manchester
237,89635,-2.224026,53.488425,1,1,47,47.1,manchester
238,89636,-2.224951,53.489035,2,1,47,47.1,manchester
239,89637,-2.226172,53.48978100000001,3,1,47,47.1,manchester
240,89638,-2.22706,53.490352,4,1,47,47.1,manchester
241,89639,-2.227736,53.49079,5,1,47,47.1,manchester
242,89640,-2.224117,53.488136,1,1,48,48.1,manchester
243,89641,-2.22416,53.488127,2,1,48,48.1,manchester
244,89642,-2.226089,53.487366,3,1,48,48.1,manchester
245,89643,-2.22756,53.48685500000001,4,1,48,48.1,manchester
246,89644,-2.229468,53.486166,5,1,48,48.1,manchester
247,89645,-2.234747,53.48684100000001,1,1,49,49.1,manchester
248,89646,-2.234344,53.48662,2,1,49,49.1,manchester
249,89647,-2.233187,53.48604,3,1,49,49.1,manchester
250,89648,-2.23207,53.485489,4,1,49,49.1,manchester
251,89649,-2.235144,53.486739,1,1,50,50.1,manchester
252,89650,-2.2352,53.48670799999999,2,1,50,50.1,manchester
253,89651,-2.235643,53.48645,3,1,50,50.1,manchester
254,89652,-2.235109,53.486711,1,1,51,51.1,manchester
255,89653,-2.235162,53.486687,2,1,51,51.1,manchester
256,89654,-2.235589,53.486426,3,1,51,51.1,manchester
257,89655,-2.235774,53.486521,1,1,52,52.1,manchester
258,89656,-2.23575,53.486538,2,1,52,52.1,manchester
259,89657,-2.235368,53.48678,3,1,52,52.1,manchester
260,89658,-2.235719,53.486485,1,1,53,53.1,manchester
261,89659,-2.23569,53.48650799999999,2,1,53,53.1,manchester
262,89660,-2.235321,53.486755,3,1,53,53.1,manchester
263,89661,-2.234473,53.489236,1,1,54,54.1,manchester
264,89662,-2.234087,53.48893,2,1,54,54.1,manchester
265,89663,-2.233392,53.488398,3,1,54,54.1,manchester
266,89664,-2.233181,53.488257,4,1,54,54.1,manchester
267,89665,-2.232896,53.48804200000001,5,1,54,54.1,manchester
268,89666,-2.238593,53.487196,1,1,55,55.1,manchester
269,89667,-2.23866,53.487217,2,1,55,55.1,manchester
270,89668,-2.239516,53.487557,3,1,55,55.1,manchester
271,89669,-2.23972,53.487662,4,1,55,55.1,manchester
272,89670,-2.238604,53.48716500000001,1,1,56,56.1,manchester
273,89671,-2.23868,53.487187,2,1,56,56.1,manchester
274,89672,-2.239569,53.487532,3,1,56,56.1,manchester
275,89673,-2.239746,53.487634,4,1,56,56.1,manchester
276,89674,-2.236238,53.486427,1,1,57,57.1,manchester
277,89675,-2.2362900000000003,53.486458,2,1,57,57.1,manchester
278,89676,-2.238448,53.48713299999999,3,1,57,57.1,manchester
279,89677,-2.235938,53.486172,1,1,58,58.1,manchester
280,89678,-2.23616,53.486068,2,1,58,58.1,manchester
281,89679,-2.236925,53.485717,3,1,58,58.1,manchester
282,89680,-2.237166,53.485664,1,1,59,59.1,manchester
