agent_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,geometry
4,1740,2015,0,180.06,0000:00,2,0,0,"LINESTRING (-2.2554808 53.4878979, -2.2555839 53.4879722)"
4,2015,1530,0,317.23,0000:00,2,0,0,"LINESTRING (-2.2555839 53.4879722, -2.2559604 53.4882335, -2.2567006 53.4885934, -2.2571402 53.488779)"
4,1530,1499,0,469.55,0000:00,4,0,0,"LINESTRING (-2.2571402 53.488779, -2.2575619 53.4889785, -2.2578129 53.4891093, -2.2584619 53.4894705, -2.2588494 53.4896953)"
5,1499,547,0,72.64,0000:00,0,0,0,"LINESTRING (-2.2588494 53.4896953, -2.2590691 53.4896092, -2.2597451 53.4893177)"
5,547,1745,0,181.54,0000:00,0,0,0,"LINESTRING (-2.2597451 53.4893177, -2.2596629 53.4892569, -2.2595192 53.4891535, -2.2594514 53.4890954, -2.2594259 53.4890631, -2.2594131 53.4890469, -2.2593991 53.4890054, -2.2593962 53.4889647, -2.2593987 53.4889196, -2.2594215 53.4888803, -2.2594603 53.4888346, -2.2596774 53.4886762, -2.2599146 53.4885107)"
5,1745,1527,0,199.99,0000:00,0,0,0,"LINESTRING (-2.2599146 53.4885107, -2.2600936 53.4883835)"
5,1527,1739,0,275.66,0000:00,0,0,0,"LINESTRING (-2.2600936 53.4883835, -2.2599972 53.4883253, -2.2593041 53.4878911)"
5,1739,1525,0,354.68,0000:00,1,0,0,"LINESTRING (-2.2593041 53.4878911, -2.2584816 53.4873758)"
5,1525,1731,0,381.23,0000:00,2,0,0,"LINESTRING (-2.2584816 53.4873758, -2.2581917 53.4875409)"
5,1731,1738,0,427.97,0000:00,2,0,0,"LINESTRING (-2.2581917 53.4875409, -2.2578942 53.4877103, -2.2577079 53.4878462)"
5,1738,1457,0,527.10,0000:00,3,0,0,"LINESTRING (-2.2577079 53.4878462, -2.2575401 53.4880551, -2.2574942 53.4881405, -2.2574744 53.4881775, -2.2573679 53.4883758, -2.2572982 53.4885929, -2.2572762 53.4886341, -2.2572367 53.4886882)"
5,1457,1534,0,737.96,0000:00,3,0,0,"LINESTRING (-2.2572367 53.4886882, -2.2568978 53.4882358, -2.2567836 53.4880833, -2.2567656 53.4880592, -2.256749 53.4880294, -2.2567447 53.4879931, -2.2567464 53.4879683, -2.2567974 53.4878711, -2.2569133 53.4876636, -2.2570504 53.4873607, -2.2571421 53.4868829)"
5,1534,1000,0,832.01,0000:00,4,0,0,"LINESTRING (-2.2571421 53.4868829, -2.2572249 53.4864952, -2.2573344 53.4860449)"
5,1000,998,0,841.43,0000:00,4,0,0,"LINESTRING (-2.2573344 53.4860449, -2.257352 53.4859608)"
5,998,1286,0,935.97,0000:00,4,0,0,"LINESTRING (-2.257352 53.4859608, -2.2573996 53.4857686, -2.2574133 53.4857096, -2.2575693 53.4851205)"
5,1286,254,0,983.72,0000:00,5,0,0,"LINESTRING (-2.2575693 53.4851205, -2.2576623 53.4846947)"
5,254,1686,0,1086.80,0000:00,5,0,0,"LINESTRING (-2.2576623 53.4846947, -2.2578773 53.4837765)"
5,1686,1170,0,1132.81,0000:00,5,0,0,"LINESTRING (-2.2578773 53.4837765, -2.257991 53.4833683)"
5,1170,35,0,1163.90,0000:00,5,0,0,"LINESTRING (-2.257991 53.4833683, -2.2577244 53.4833706, -2.2575211 53.4833713)"
5,35,34,0,1211.78,0000:00,5,0,0,"LINESTRING (-2.2575211 53.4833713, -2.2574134 53.4835764, -2.2572973 53.4837807)"
5,34,1442,0,1552.30,0000:00,5,0,0,"LINESTRING (-2.2572973 53.4837807, -2.2570107 53.4841884, -2.2565548 53.4847053, -2.2563378 53.4849201, -2.2555485 53.4856097, -2.2551165 53.4859557, -2.2550623 53.4859925, -2.2545396 53.4863472)"
