tmc_link_id,corridor_id,corridor_link_order,from_node_id,to_node_id,time_period,date,geometry,volume,travel_time,speed,reference_speed,density,queue,notes
100000039,VA-7_WESTBOUND,28.0,100000040,100000041,0000_0015,2015-04-01,"LINESTRING (-77.226 38.9154,-77.2268 38.9158)",,,42,,,,
100000039,VA-7_WESTBOUND,28.0,100000040,100000041,0015_0030,2015-04-01,"LINESTRING (-77.226 38.9154,-77.2268 38.9158)",,,35,,,,
100000039,VA-7_WESTBOUND,28.0,100000040,100000041,,,"LINESTRING (-77.226 38.9154,-77.2268 38.9158)",,,,,,,
100000040,VA-7_WESTBOUND,29.0,100000041,100000042,0000_0015,2015-04-01,"LINESTRING (-77.2268 38.9158,-77.2305 38.9184)",,,42,,,,
100000040,VA-7_WESTBOUND,29.0,100000041,100000042,0015_0030,2015-04-01,"LINESTRING (-77.2268 38.9158,-77.2305 38.9184)",,,38,,,,
100000040,VA-7_WESTBOUND,29.0,100000041,100000042,,,"LINESTRING (-77.2268 38.9158,-77.2305 38.9184)",,,,,,,
100000041,VA-7_WESTBOUND,30.0,100000042,100000043,0000_0015,2015-04-01,"LINESTRING (-77.2305 38.9184,-77.2321 38.9197)",,,39,,,,
100000041,VA-7_WESTBOUND,30.0,100000042,100000043,0015_0030,2015-04-01,"LINESTRING (-77.2305 38.9184,-77.2321 38.9197)",,,36,,,,
100000041,VA-7_WESTBOUND,30.0,100000042,100000043,,,"LINESTRING (-77.2305 38.9184,-77.2321 38.9197)",,,,,,,
100000042,VA-7_WESTBOUND,31.0,100000043,100000044,0000_0015,2015-04-01,"LINESTRING (-77.2321 38.9197,-77.2364 38.9239)",,,35,,,,
100000042,VA-7_WESTBOUND,31.0,100000043,100000044,0015_0030,2015-04-01,"LINESTRING (-77.2321 38.9197,-77.2364 38.9239)",,,35,,,,
100000042,VA-7_WESTBOUND,31.0,100000043,100000044,,,"LINESTRING (-77.2321 38.9197,-77.2364 38.9239)",,,,,,,
100000043,VA-7_WESTBOUND,32.0,100000044,100000045,0000_0015,2015-04-01,"LINESTRING (-77.2364 38.9239,-77.2365 38.924)",,,35,,,,
100000043,VA-7_WESTBOUND,32.0,100000044,100000045,0015_0030,2015-04-01,"LINESTRING (-77.2364 38.9239,-77.2365 38.924)",,,35,,,,
100000043,VA-7_WESTBOUND,32.0,100000044,100000045,,,"LINESTRING (-77.2364 38.9239,-77.2365 38.924)",,,,,,,
100000044,VA-7_WESTBOUND,33.0,100000045,100000046,0000_0015,2015-04-01,"LINESTRING (-77.2365 38.924,-77.2447 38.9323)",,,35,,,,
100000044,VA-7_WESTBOUND,33.0,100000045,100000046,0015_0030,2015-04-01,"LINESTRING (-77.2365 38.924,-77.2447 38.9323)",,,35,,,,
100000044,VA-7_WESTBOUND,33.0,100000045,100000046,,,"LINESTRING (-77.2365 38.924,-77.2447 38.9323)",,,,,,,
100000045,VA-7_WESTBOUND,34.0,100000046,100000047,0000_0015,2015-04-01,"LINESTRING (-77.2447 38.9323,-77.2487 38.9364)",,,36,,,,
100000045,VA-7_WESTBOUND,34.0,100000046,100000047,0015_0030,2015-04-01,"LINESTRING (-77.2447 38.9323,-77.2487 38.9364)",,,36,,,,
100000045,VA-7_WESTBOUND,34.0,100000046,100000047,,,"LINESTRING (-77.2447 38.9323,-77.2487 38.9364)",,,,,,,
100000046,VA-7_WESTBOUND,35.0,100000047,100000048,0000_0015,2015-04-01,"LINESTRING (-77.2487 38.9364,-77.2551 38.9429)",,,40,,,,
100000046,VA-7_WESTBOUND,35.0,100000047,100000048,0015_0030,2015-04-01,"LINESTRING (-77.2487 38.9364,-77.2551 38.9429)",,,40,,,,
100000046,VA-7_WESTBOUND,35.0,100000047,100000048,,,"LINESTRING (-77.2487 38.9364,-77.2551 38.9429)",,,,,,,
100000047,VA-7_WESTBOUND,36.0,100000048,100000049,0000_0015,2015-04-01,"LINESTRING (-77.2551 38.9429,-77.2644 38.9515)",,,42,,,,
