,utd,utd_long,utd_lat,order,piece,linkid,group,utd_citycode,detectors,detid,detectors_length,pos,fclass,road,limit,detectors_citycode,lanes,detectors_long,detectors_lat
78,89476,-2.250818,53.488037,2,1,12,12.1,manchester,15281.0,N06351L,0.31558150036176,0.312597334164347,trunk,Trinity Way,48.0,manchester,2.0,-2.250818,53.488037
79,89477,-2.250035,53.488184,3,1,12,12.1,manchester,15281.0,N06351L,0.31558150036176,0.312597334164347,trunk,Trinity Way,48.0,manchester,2.0,-2.250818,53.488037
80,89478,-2.2495,53.488264,4,1,12,12.1,manchester,15281.0,N06351L,0.31558150036176,0.312597334164347,trunk,Trinity Way,48.0,manchester,2.0,-2.250818,53.488037
81,89479,-2.249089,53.48828100000001,5,1,12,12.1,manchester,15281.0,N06351L,0.31558150036176,0.312597334164347,trunk,Trinity Way,48.0,manchester,2.0,-2.250818,53.488037
82,89480,-2.247739,53.488302,6,1,12,12.1,manchester,15281.0,N06351L,0.31558150036176,0.312597334164347,trunk,Trinity Way,48.0,manchester,2.0,-2.250818,53.488037
83,89481,-2.246801,53.488354,7,1,12,12.1,manchester,15281.0,N06351L,0.31558150036176,0.312597334164347,trunk,Trinity Way,48.0,manchester,2.0,-2.250818,53.488037
84,89482,-2.246194,53.48846,8,1,12,12.1,manchester,15281.0,N06351L,0.31558150036176,0.312597334164347,trunk,Trinity Way,48.0,manchester,2.0,-2.250818,53.488037
85,89483,-2.24591,53.48840600000001,1,1,13,13.1,manchester,15287.0,N06411K,0.32661135999616303,0.320619494838625,trunk,New Bridge Street,48.0,manchester,3.0,-2.2459990000000003,53.488397
86,89484,-2.2459990000000003,53.488397,2,1,13,13.1,manchester,15287.0,N06411K,0.32661135999616303,0.320619494838625,trunk,New Bridge Street,48.0,manchester,3.0,-2.2459990000000003,53.488397
87,89485,-2.247203,53.48824000000001,3,1,13,13.1,manchester,15287.0,N06411K,0.32661135999616303,0.320619494838625,trunk,New Bridge Street,48.0,manchester,3.0,-2.2459990000000003,53.488397
88,89486,-2.249142,53.488176,4,1,13,13.1,manchester,15287.0,N06411K,0.32661135999616303,0.320619494838625,trunk,New Bridge Street,48.0,manchester,3.0,-2.2459990000000003,53.488397
89,89487,-2.249934,53.488122,5,1,13,13.1,manchester,15287.0,N06411K,0.32661135999616303,0.320619494838625,trunk,New Bridge Street,48.0,manchester,3.0,-2.2459990000000003,53.488397
90,89488,-2.250754,53.48797,6,1,13,13.1,manchester,15287.0,N06411K,0.32661135999616303,0.320619494838625,trunk,New Bridge Street,48.0,manchester,3.0,-2.2459990000000003,53.488397
91,89489,-2.248828,53.492199,1,1,14,14.1,manchester,15282.0,N06351M,0.434791029303623,0.098507009298841,trunk,Great Ducie Street,48.0,manchester,2.0,-2.246514,53.489516
92,89490,-2.248419,53.491709,2,1,14,14.1,manchester,15282.0,N06351M,0.434791029303623,0.098507009298841,trunk,Great Ducie Street,48.0,manchester,2.0,-2.246514,53.489516
93,89491,-2.247566,53.490865,3,1,14,14.1,manchester,15282.0,N06351M,0.434791029303623,0.098507009298841,trunk,Great Ducie Street,48.0,manchester,2.0,-2.246514,53.489516
94,89492,-2.24731,53.490584,4,1,14,14.1,manchester,15282.0,N06351M,0.434791029303623,0.098507009298841,trunk,Great Ducie Street,48.0,manchester,2.0,-2.246514,53.489516
95,89493,-2.246935,53.490064,5,1,14,14.1,manchester,15282.0,N06351M,0.434791029303623,0.098507009298841,trunk,Great Ducie Street,48.0,manchester,2.0,-2.246514,53.489516
96,89494,-2.246581,53.489594,6,1,14,14.1,manchester,15282.0,N06351M,0.434791029303623,0.098507009298841,trunk,Great Ducie Street,48.0,manchester,2.0,-2.246514,53.489516
97,89495,-2.246514,53.489516,7,1,14,14.1,manchester,15282.0,N06351M,0.434791029303623,0.098507009298841,trunk,Great Ducie Street,48.0,manchester,2.0,-2.246514,53.489516
98,89496,-2.245912,53.488707,8,1,14,14.1,manchester,15282.0,N06351M,0.434791029303623,0.098507009298841,trunk,Great Ducie Street,48.0,manchester,2.0,-2.246514,53.489516
99,89497,-2.245934,53.48854,1,1,15,15.1,manchester,15330.0,N36121V,0.4566121720387461,0.0,trunk,Great Ducie Street,48.0,manchester,2.0,-2.24893,53.492221
100,89498,-2.246318,53.488986,2,1,15,15.1,manchester,15330.0,N36121V,0.4566121720387461,0.0,trunk,Great Ducie Street,48.0,manchester,2.0,-2.24893,53.492221
