link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,parent_link_id,length,grade,facility_type,capacity,free_speed,lanes
100000413,89916,Adair Street,7,100000519,100000520,,,"LINESTRING (-2.222575 53.478522,-2.222473 53.478597)",,,,other,,,0.0,1.0
100000414,89917,Adair Street,8,100000520,100000521,,,"LINESTRING (-2.222473 53.478597,-2.222025 53.478897)",,,,other,,,0.0,1.0
100000415,89919,Ancoats Grove,1,100000522,100000523,,,"LINESTRING (-2.216021 53.478222,-2.217105 53.47852)",,,,other,,,0.0,1.0
100000416,89920,Ancoats Grove,2,100000523,100000524,,,"LINESTRING (-2.217105 53.47852,-2.2173380000000003 53.478593)",,,,other,,,0.0,1.0
100000417,89921,Ancoats Grove,3,100000524,100000525,,,"LINESTRING (-2.2173380000000003 53.478593,-2.217455 53.478616)",,,,other,,,0.0,1.0
100000418,89922,Ancoats Grove,4,100000525,100000526,,,"LINESTRING (-2.217455 53.478616,-2.217519 53.47862900000001)",,,,other,,,0.0,1.0
100000419,89924,Every Street,1,100000527,100000528,,,"LINESTRING (-2.215325 53.480898,-2.216202 53.480104)",,,,tertiary,,,32.0,1.0
100000420,89925,Every Street,2,100000528,100000529,,,"LINESTRING (-2.216202 53.480104,-2.217221 53.479215)",,,,tertiary,,,32.0,1.0
100000421,89926,Every Street,3,100000529,100000530,,,"LINESTRING (-2.217221 53.479215,-2.217575 53.47891600000001)",,,,tertiary,,,32.0,1.0
100000422,89928,Pollard Street,1,100000531,100000532,,,"LINESTRING (-2.21687 53.482089,-2.217701 53.48149100000001)",,,,primary,,,48.0,1.0
100000423,89929,Pollard Street,2,100000532,100000533,,,"LINESTRING (-2.217701 53.48149100000001,-2.218959 53.48090500000001)",,,,primary,,,48.0,1.0
100000424,89930,Pollard Street,3,100000533,100000534,,,"LINESTRING (-2.218959 53.48090500000001,-2.220392 53.480259)",,,,primary,,,48.0,1.0
100000425,89931,Pollard Street,4,100000534,100000535,,,"LINESTRING (-2.220392 53.480259,-2.222004 53.47963299999999)",,,,primary,,,48.0,1.0
100000426,89932,Pollard Street,5,100000535,100000536,,,"LINESTRING (-2.222004 53.47963299999999,-2.222326 53.47953100000001)",,,,primary,,,48.0,1.0
100000427,89934,Blackfriars Street,1,100000537,100000538,,,"LINESTRING (-2.24929 53.48472,-2.249982 53.485114)",,,,primary,,,48.0,1.0
100000428,89935,Blackfriars Street,2,100000538,100000539,,,"LINESTRING (-2.249982 53.485114,-2.250668 53.485553)",,,,primary,,,48.0,1.0
100000429,89936,Blackfriars Street,3,100000539,100000540,,,"LINESTRING (-2.250668 53.485553,-2.251999 53.486024)",,,,primary,,,48.0,1.0
100000430,89937,Blackfriars Street,4,100000540,100000541,,,"LINESTRING (-2.251999 53.486024,-2.2522330000000004 53.486112)",,,,primary,,,48.0,1.0
100000431,89938,Blackfriars Street,5,100000541,100000542,,,"LINESTRING (-2.2522330000000004 53.486112,-2.253318 53.48662)",,,,primary,,,48.0,1.0
100000432,89940,William Street,1,100000543,100000544,,,"LINESTRING (-2.254024 53.484913,-2.254059 53.484933)",,,,other,,,0.0,1.0
100000433,89941,William Street,2,100000544,100000545,,,"LINESTRING (-2.254059 53.484933,-2.254228 53.484962)",,,,other,,,0.0,1.0
100000434,89942,William Street,3,100000545,100000546,,,"LINESTRING (-2.254228 53.484962,-2.254555 53.484844)",,,,other,,,0.0,1.0
100000435,89943,William Street,4,100000546,100000547,,,"LINESTRING (-2.254555 53.484844,-2.25485 53.48493000000001)",,,,other,,,0.0,1.0
100000436,89944,William Street,5,100000547,100000548,,,"LINESTRING (-2.25485 53.48493000000001,-2.254938 53.484997)",,,,other,,,0.0,1.0
100000437,89945,William Street,6,100000548,100000549,,,"LINESTRING (-2.254938 53.484997,-2.2554 53.48530699999999)",,,,other,,,0.0,1.0
100000438,89947,Trinity Way,1,100000550,100000551,,,"LINESTRING (-2.256502 53.48474399999999,-2.256485 53.484764)",,,,trunk,,,48.0,2.0
100000439,89948,Trinity Way,2,100000551,100000058,,,"LINESTRING (-2.256485 53.484764,-2.2557810000000003 53.485393)",,,,trunk,,,48.0,2.0
100000440,89950,,1,100000071,100000554,,,"LINESTRING (-2.25533 53.48556899999999,-2.255979 53.485063)",,,,,,,,
