,link_id,from_node_id,to_node_id,lanes,length,time_period,date,geometry,volume,speed
0,4459.0,1445.0,1446.0,,5.0,2310_2325,2017-09-29,"LINESTRING (-2.2536785 53.486818, -2.2536332 53.4868548)",0.0,0.0
1,4459.0,1445.0,1446.0,,5.0,2325_2340,2017-09-29,"LINESTRING (-2.2536785 53.486818, -2.2536332 53.4868548)",0.0,0.0
0,4460.0,1446.0,1448.0,,40.0,2310_2325,2017-09-29,"LINESTRING (-2.2536332 53.4868548, -2.2534233 53.4869519, -2.2531652 53.4870865)",0.0,0.0
1,4460.0,1446.0,1448.0,,40.0,2325_2340,2017-09-29,"LINESTRING (-2.2536332 53.4868548, -2.2534233 53.4869519, -2.2531652 53.4870865)",0.0,0.0
0,4461.0,1448.0,37.0,,170.0,2310_2325,2017-09-29,"LINESTRING (-2.2531652 53.4870865, -2.252674 53.4873398, -2.2519637 53.4876512, -2.2512866 53.4879058, -2.2512651 53.4879124, -2.2510723 53.4879688)",0.0,0.0
1,4461.0,1448.0,37.0,,170.0,2325_2340,2017-09-29,"LINESTRING (-2.2531652 53.4870865, -2.252674 53.4873398, -2.2519637 53.4876512, -2.2512866 53.4879058, -2.2512651 53.4879124, -2.2510723 53.4879688)",0.0,0.0
0,4462.0,37.0,1451.0,,125.0,2310_2325,2017-09-29,"LINESTRING (-2.2510723 53.4879688, -2.2508545 53.4880357, -2.2507923 53.4880541, -2.2501484 53.4881851, -2.2494215 53.4882493, -2.2492675 53.4882598)",0.0,0.0
1,4462.0,37.0,1451.0,,125.0,2325_2340,2017-09-29,"LINESTRING (-2.2510723 53.4879688, -2.2508545 53.4880357, -2.2507923 53.4880541, -2.2501484 53.4881851, -2.2494215 53.4882493, -2.2492675 53.4882598)",0.0,0.0
0,2579.0,1451.0,1452.0,2.0,96.0,2310_2325,2017-09-29,"LINESTRING (-2.2492675 53.4882598, -2.2478202 53.4883024)",0.0,0.0
1,2579.0,1451.0,1452.0,2.0,96.0,2325_2340,2017-09-29,"LINESTRING (-2.2492675 53.4882598, -2.2478202 53.4883024)",0.0,0.0
0,4888.0,1452.0,1453.0,2.0,62.0,2310_2325,2017-09-29,"LINESTRING (-2.2478202 53.4883024, -2.247655 53.4883083, -2.2472789 53.4883217, -2.2468822 53.4883541)",0.0,0.0
1,4888.0,1452.0,1453.0,2.0,62.0,2325_2340,2017-09-29,"LINESTRING (-2.2478202 53.4883024, -2.247655 53.4883083, -2.2472789 53.4883217, -2.2468822 53.4883541)",0.0,0.0
0,5267.0,1453.0,2481.0,2.0,67.0,2310_2325,2017-09-29,"LINESTRING (-2.2468822 53.4883541, -2.2464772 53.4884022, -2.2462304 53.4884398, -2.2459074 53.4885009)",0.0,0.0
1,5267.0,1453.0,2481.0,2.0,67.0,2325_2340,2017-09-29,"LINESTRING (-2.2468822 53.4883541, -2.2464772 53.4884022, -2.2462304 53.4884398, -2.2459074 53.4885009)",0.0,0.0
0,5268.0,2481.0,1454.0,2.0,12.0,2310_2325,2017-09-29,"LINESTRING (-2.2459074 53.4885009, -2.2457419 53.4885336)",0.0,0.0
1,5268.0,2481.0,1454.0,2.0,12.0,2325_2340,2017-09-29,"LINESTRING (-2.2459074 53.4885009, -2.2457419 53.4885336)",0.0,0.0
0,5269.0,1454.0,1455.0,2.0,57.0,2310_2325,2017-09-29,"LINESTRING (-2.2457419 53.4885336, -2.2454671 53.4885847, -2.244921 53.4886895)",0.0,0.0
1,5269.0,1454.0,1455.0,2.0,57.0,2325_2340,2017-09-29,"LINESTRING (-2.2457419 53.4885336, -2.2454671 53.4885847, -2.244921 53.4886895)",0.0,0.0
0,5266.0,1455.0,476.0,3.0,108.0,2310_2325,2017-09-29,"LINESTRING (-2.244921 53.4886895, -2.2444912 53.488788, -2.2440412 53.4889009, -2.2436118 53.4890116, -2.2434127 53.4890605)",0.0,0.0
1,5266.0,1455.0,476.0,3.0,108.0,2325_2340,2017-09-29,"LINESTRING (-2.244921 53.4886895, -2.2444912 53.488788, -2.2440412 53.4889009, -2.2436118 53.4890116, -2.2434127 53.4890605)",0.0,0.0
