utd_link_id,corridor_id,corridor_link_order,from_node_id,to_node_id,time_period,date,geometry,volume,travel_time,speed,reference_speed,density,queue,notes
100000023,St Simon Street,9,100000025,100000026,,,"LINESTRING (-2.257865 53.48991899999999,-2.258251 53.489922)",,,,,,,
100000024,St Simon Street,10,100000026,100000027,2310_2325,2017-09-29,"LINESTRING (-2.258251 53.489922,-2.258384 53.489911)",66.0,,35,,,,
100000024,St Simon Street,10,100000026,100000027,2325_2340,2017-09-29,"LINESTRING (-2.258251 53.489922,-2.258384 53.489911)",12.0,,53,,,,
100000024,St Simon Street,10,100000026,100000027,2340_2355,2017-09-29,"LINESTRING (-2.258251 53.489922,-2.258384 53.489911)",24.0,,53,,,,
100000024,St Simon Street,10,100000026,100000027,2355_0010,2017-09-29,"LINESTRING (-2.258251 53.489922,-2.258384 53.489911)",78.0,,67,,,,
100000024,St Simon Street,10,100000026,100000027,0010_0025,2017-09-30,"LINESTRING (-2.258251 53.489922,-2.258384 53.489911)",42.0,,36,,,,
100000024,St Simon Street,10,100000026,100000027,,,"LINESTRING (-2.258251 53.489922,-2.258384 53.489911)",,,,,,,
100000025,St Simon Street,11,100000027,100000028,2310_2325,2017-09-29,"LINESTRING (-2.258384 53.489911,-2.258546 53.489856)",66.0,,35,,,,
100000025,St Simon Street,11,100000027,100000028,2325_2340,2017-09-29,"LINESTRING (-2.258384 53.489911,-2.258546 53.489856)",12.0,,53,,,,
100000025,St Simon Street,11,100000027,100000028,2340_2355,2017-09-29,"LINESTRING (-2.258384 53.489911,-2.258546 53.489856)",24.0,,53,,,,
100000025,St Simon Street,11,100000027,100000028,2355_0010,2017-09-29,"LINESTRING (-2.258384 53.489911,-2.258546 53.489856)",78.0,,67,,,,
100000025,St Simon Street,11,100000027,100000028,0010_0025,2017-09-30,"LINESTRING (-2.258384 53.489911,-2.258546 53.489856)",42.0,,36,,,,
100000025,St Simon Street,11,100000027,100000028,,,"LINESTRING (-2.258384 53.489911,-2.258546 53.489856)",,,,,,,
100000026,St Simon Street,12,100000028,100000029,2310_2325,2017-09-29,"LINESTRING (-2.258546 53.489856,-2.2587 53.489803)",66.0,,35,,,,
100000026,St Simon Street,12,100000028,100000029,2325_2340,2017-09-29,"LINESTRING (-2.258546 53.489856,-2.2587 53.489803)",12.0,,53,,,,
100000026,St Simon Street,12,100000028,100000029,2340_2355,2017-09-29,"LINESTRING (-2.258546 53.489856,-2.2587 53.489803)",24.0,,53,,,,
100000026,St Simon Street,12,100000028,100000029,2355_0010,2017-09-29,"LINESTRING (-2.258546 53.489856,-2.2587 53.489803)",78.0,,67,,,,
100000026,St Simon Street,12,100000028,100000029,0010_0025,2017-09-30,"LINESTRING (-2.258546 53.489856,-2.2587 53.489803)",42.0,,36,,,,
100000026,St Simon Street,12,100000028,100000029,,,"LINESTRING (-2.258546 53.489856,-2.2587 53.489803)",,,,,,,
100000027,Blackfriars Road,1,100000030,100000031,2310_2325,2017-09-29,"LINESTRING (-2.253664 53.486829,-2.254386 53.487227)",1146.0,,29,,,,
100000027,Blackfriars Road,1,100000030,100000031,2325_2340,2017-09-29,"LINESTRING (-2.253664 53.486829,-2.254386 53.487227)",1272.0,,27,,,,
100000027,Blackfriars Road,1,100000030,100000031,2340_2355,2017-09-29,"LINESTRING (-2.253664 53.486829,-2.254386 53.487227)",1098.0,,29,,,,
100000027,Blackfriars Road,1,100000030,100000031,2355_0010,2017-09-29,"LINESTRING (-2.253664 53.486829,-2.254386 53.487227)",792.0,,29,,,,
100000027,Blackfriars Road,1,100000030,100000031,0010_0025,2017-09-30,"LINESTRING (-2.253664 53.486829,-2.254386 53.487227)",1338.0,,27,,,,
100000027,Blackfriars Road,1,100000030,100000031,,,"LINESTRING (-2.253664 53.486829,-2.254386 53.487227)",,,,,,,
100000028,Blackfriars Road,2,100000031,100000032,2310_2325,2017-09-29,"LINESTRING (-2.254386 53.487227,-2.255174 53.487698)",1146.0,,29,,,,
100000028,Blackfriars Road,2,100000031,100000032,2325_2340,2017-09-29,"LINESTRING (-2.254386 53.487227,-2.255174 53.487698)",1272.0,,27,,,,
100000028,Blackfriars Road,2,100000031,100000032,2340_2355,2017-09-29,"LINESTRING (-2.254386 53.487227,-2.255174 53.487698)",1098.0,,29,,,,
100000028,Blackfriars Road,2,100000031,100000032,2355_0010,2017-09-29,"LINESTRING (-2.254386 53.487227,-2.255174 53.487698)",792.0,,29,,,,
100000028,Blackfriars Road,2,100000031,100000032,0010_0025,2017-09-30,"LINESTRING (-2.254386 53.487227,-2.255174 53.487698)",1338.0,,27,,,,
100000028,Blackfriars Road,2,100000031,100000032,,,"LINESTRING (-2.254386 53.487227,-2.255174 53.487698)",,,,,,,
100000029,Blackfriars Road,3,100000032,100000033,2310_2325,2017-09-29,"LINESTRING (-2.255174 53.487698,-2.2561560000000003 53.488339)",1146.0,,29,,,,
100000029,Blackfriars Road,3,100000032,100000033,2325_2340,2017-09-29,"LINESTRING (-2.255174 53.487698,-2.2561560000000003 53.488339)",1272.0,,27,,,,
100000029,Blackfriars Road,3,100000032,100000033,2340_2355,2017-09-29,"LINESTRING (-2.255174 53.487698,-2.2561560000000003 53.488339)",1098.0,,29,,,,
100000029,Blackfriars Road,3,100000032,100000033,2355_0010,2017-09-29,"LINESTRING (-2.255174 53.487698,-2.2561560000000003 53.488339)",792.0,,29,,,,
100000029,Blackfriars Road,3,100000032,100000033,0010_0025,2017-09-30,"LINESTRING (-2.255174 53.487698,-2.2561560000000003 53.488339)",1338.0,,27,,,,
100000029,Blackfriars Road,3,100000032,100000033,,,"LINESTRING (-2.255174 53.487698,-2.2561560000000003 53.488339)",,,,,,,
100000030,Blackfriars Road,4,100000033,100000034,2310_2325,2017-09-29,"LINESTRING (-2.2561560000000003 53.488339,-2.257531 53.488961)",1146.0,,29,,,,
100000030,Blackfriars Road,4,100000033,100000034,2325_2340,2017-09-29,"LINESTRING (-2.2561560000000003 53.488339,-2.257531 53.488961)",1272.0,,27,,,,
100000030,Blackfriars Road,4,100000033,100000034,2340_2355,2017-09-29,"LINESTRING (-2.2561560000000003 53.488339,-2.257531 53.488961)",1098.0,,29,,,,
100000030,Blackfriars Road,4,100000033,100000034,2355_0010,2017-09-29,"LINESTRING (-2.2561560000000003 53.488339,-2.257531 53.488961)",792.0,,29,,,,
100000030,Blackfriars Road,4,100000033,100000034,0010_0025,2017-09-30,"LINESTRING (-2.2561560000000003 53.488339,-2.257531 53.488961)",1338.0,,27,,,,
100000030,Blackfriars Road,4,100000033,100000034,,,"LINESTRING (-2.2561560000000003 53.488339,-2.257531 53.488961)",,,,,,,
