,link_id,from_node_id,to_node_id,lanes,length,timestamp,geometry,volume,speed
65,28178,13732,12483,3,70.72781912617256,2015-04-01T00:00,"LINESTRING (-77.25999299999999 38.9476017, -77.2594924 38.9470987)",,40.0
66,28179,12483,10019,2,153.39822596076144,2015-04-01T00:00,"LINESTRING (-77.2594924 38.9470987, -77.25913420000001 38.9467364, -77.2584073 38.9460074)",,40.0
67,28173,10019,10020,4,77.87056259396186,2015-04-01T00:00,"LINESTRING (-77.2584073 38.9460074, -77.2578595 38.9454516)",,40.0
68,28171,10020,10021,3,60.60628134725447,2015-04-01T00:00,"LINESTRING (-77.2578595 38.9454516, -77.2574438 38.9450128)",,40.0
69,24314,10021,10022,4,128.67755666610276,2015-04-01T00:00,"LINESTRING (-77.2574438 38.9450128, -77.25653370000001 38.9440973)",,40.0
70,28170,10022,14876,5,174.5303640765914,2015-04-01T00:00,"LINESTRING (-77.25653370000001 38.9440973, -77.2553937 38.9429464, -77.25530209999999 38.9428539)",,40.0
71,24316,14876,1437,1,15.739505615502736,2015-04-01T00:00,"LINESTRING (-77.25530209999999 38.9428539, -77.25544979999999 38.9427712)",,40.0
72,24295,1437,12490,1,12.624334163615083,2015-04-01T00:00,"LINESTRING (-77.25544979999999 38.9427712, -77.25536200000001 38.9426805)",,40.0
73,28450,12490,12494,1,183.2725010005476,2015-04-01T00:00,"LINESTRING (-77.25536200000001 38.9426805, -77.2540676 38.9413755)",,40.0
74,28452,12494,1438,1,66.63605353619874,2015-04-01T00:00,"LINESTRING (-77.2540676 38.9413755, -77.253597 38.940901)",,40.0
75,24312,1438,1434,1,261.22664854074577,2015-04-01T00:00,"LINESTRING (-77.253597 38.940901, -77.2534823 38.9408031, -77.25333019999999 38.9406499, -77.25328279999999 38.9405799, -77.2532068 38.9404914, -77.252065 38.9393018, -77.251783 38.939025)",,40.0
76,17061,1434,9818,1,16.75232265350141,2015-04-01T00:00,"LINESTRING (-77.251783 38.939025, -77.2516169 38.9391025)",,40.0
77,27037,9818,13378,2,180.53745343895312,2015-04-01T00:00,"LINESTRING (-77.2516169 38.9391025, -77.2514888 38.93897, -77.2512723 38.93875, -77.25062 38.938088, -77.2504698 38.9379328, -77.2503521 38.9378109)",,36.0
78,27038,13378,2495,3,43.00547746862853,2015-04-01T00:00,"LINESTRING (-77.2503521 38.9378109, -77.2500512 38.937503)",,36.0
79,27039,2495,9817,2,59.780310714393465,2015-04-01T00:00,"LINESTRING (-77.2500512 38.937503, -77.24981080000001 38.9372555, -77.2496422 38.9370697)",,36.0
80,24317,9817,13379,3,156.27596106564033,2015-04-01T00:00,"LINESTRING (-77.2496422 38.9370697, -77.2494689 38.9368825, -77.2493767 38.9367834, -77.24872329999999 38.9361105, -77.2485611 38.9359437)",,36.0
81,27040,13379,14753,3,56.823248080095,2015-04-01T00:00,"LINESTRING (-77.2485611 38.9359437, -77.2483134 38.9356903, -77.2481587 38.9355398)",,36.0
82,25628,14753,1299,4,66.55307661197985,2015-04-01T00:00,"LINESTRING (-77.2481587 38.9355398, -77.24767249999999 38.9350759)",,36.0
83,25629,1299,1894,4,58.573800884088215,2015-04-01T00:00,"LINESTRING (-77.24767249999999 38.9350759, -77.2472387 38.9346714)",,36.0
84,18488,1894,2494,4,131.30545573693968,2015-04-01T00:00,"LINESTRING (-77.2472387 38.9346714, -77.24631549999999 38.933734)",,36.0
85,18489,2494,849,4,22.33028593495721,2015-04-01T00:00,"LINESTRING (-77.24631549999999 38.933734, -77.24616760000001 38.9335694)",,36.0
86,28764,849,9833,3,119.40220773706824,2015-04-01T00:00,"LINESTRING (-77.24616760000001 38.9335694, -77.24597009999999 38.9333624, -77.2457658 38.9331099, -77.2454183 38.9326684)",,36.0
87,27553,9833,2493,3,83.10929644821779,2015-04-01T00:00,"LINESTRING (-77.2454183 38.9326684, -77.2453352 38.9325696, -77.2452849 38.9325084, -77.24521129999999 38.9324189, -77.2450649 38.9322433, -77.2449905 38.9321553, -77.24488909999999 38.9320447)",,33.77
88,27557,2493,784,3,89.52523011717643,2015-04-01T00:00,"LINESTRING (-77.24488909999999 38.9320447, -77.244682 38.9318269, -77.2445924 38.9317307, -77.2444761 38.9316025, -77.2442832 38.931392)",,33.77
89,19877,784,9831,4,202.76082276385813,2015-04-01T00:00,"LINESTRING (-77.2442832 38.931392, -77.2438873 38.930989, -77.243785 38.9308816, -77.24354150000001 38.9306378, -77.24337970000001 38.9304678, -77.24303209999999 38.9300977, -77.24300270000001 38.9300665, -77.2428767 38.9299334)",,33.77
90,24764,9831,14128,6,175.69243720500066,2015-04-01T00:00,"LINESTRING (-77.2428767 38.9299334, -77.24275299999999 38.9298066, -77.2426091 38.9296557, -77.2423074 38.9293548, -77.2421483 38.9291886, -77.24182999999999 38.9288673, -77.2416389 38.9286808)",,33.77
91,30327,14128,14129,6,7.587111962325628,2015-04-01T00:00,"LINESTRING (-77.2416389 38.9286808, -77.2415843 38.9286274)",,33.77
92,30328,14129,2492,6,42.28732061905706,2015-04-01T00:00,"LINESTRING (-77.2415843 38.9286274, -77.2414299 38.9284768, -77.2412824 38.9283283)",,33.77
93,24767,2492,13390,4,425.4615707222143,2015-04-01T00:00,"LINESTRING (-77.2412824 38.9283283, -77.2411713 38.9282166, -77.24073919999999 38.9278077, -77.24058460000001 38.9276557, -77.24008430000001 38.9271494, -77.2398919 38.926952, -77.239631 38.9266885, -77.2395343 38.9265855, -77.23935899999999 38.9264047, -77.23895210000001 38.9259931, -77.2387825 38.9258215, -77.2386782 38.9257143, -77.23828930000001 38.9252929)",,33.77
94,27088,13390,13737,6,122.68494865194108,2015-04-01T00:00,"LINESTRING (-77.23828930000001 38.9252929, -77.2381156 38.9250934, -77.2379715 38.9249334, -77.23777029999999 38.9247232, -77.2374547 38.9244012)",,33.77
95,28206,13737,11140,7,80.13840748002052,2015-04-01T00:00,"LINESTRING (-77.2374547 38.9244012, -77.23727220000001 38.9242125, -77.2372029 38.9241408, -77.23701 38.9239437, -77.23697060000001 38.9239034, -77.23689419999999 38.9238274)",,33.77
96,30315,11140,2491,7,13.78843068250682,2015-04-01T00:00,"LINESTRING (-77.23689419999999 38.9238274, -77.2367996 38.9237276)",,33.77
97,24758,2491,813,4,578.2240591636324,2015-04-01T00:00,"LINESTRING (-77.2367996 38.9237276, -77.2366473 38.9235684, -77.23572420000001 38.9226184, -77.23507840000001 38.9219527, -77.2345174 38.9213789, -77.2343576 38.9212149, -77.2340511 38.9208939, -77.2333687 38.9201978, -77.23331229999999 38.9201483, -77.2330434 38.919912, -77.23266289999999 38.9196537)",,32.0
98,24759,813,12639,4,45.470846282444825,2015-04-01T00:00,"LINESTRING (-77.23266289999999 38.9196537, -77.2322271 38.9194251)",,32.0
99,28207,12639,11108,4,102.21163344897909,2015-04-01T00:00,"LINESTRING (-77.2322271 38.9194251, -77.23192179999999 38.9192399, -77.23158669999999 38.9189753, -77.2313561 38.9188062)",,32.0
100,27645,11108,502,3,86.14411480752239,2015-04-01T00:00,"LINESTRING (-77.2313561 38.9188062, -77.2311704 38.9186578, -77.230678 38.918239)",,29.0
101,27951,502,2490,3,72.57447109228623,2015-04-01T00:00,"LINESTRING (-77.230678 38.918239, -77.2303354 38.9179589, -77.23010410000001 38.917763)",,29.0
102,27952,2490,2489,3,28.12191406438396,2015-04-01T00:00,"LINESTRING (-77.23010410000001 38.917763, -77.229878 38.9175813)",,29.0
103,24768,2489,11149,5,102.44477592767076,2015-04-01T00:00,"LINESTRING (-77.229878 38.9175813, -77.22964469999999 38.917408, -77.2294273 38.917255, -77.229157 38.9170786, -77.229118 38.9170545, -77.228988 38.9169744)",,29.0
104,27608,11149,2488,3,15.972842732398563,2015-04-01T00:00,"LINESTRING (-77.228988 38.9169744, -77.22884070000001 38.9168878)",,29.0
105,27609,2488,2487,3,107.76804958491424,2015-04-01T00:00,"LINESTRING (-77.22884070000001 38.9168878, -77.2278646 38.9162857)",,25.0
106,27605,2487,11148,3,36.9945509242882,2015-04-01T00:00,"LINESTRING (-77.2278646 38.9162857, -77.22753179999999 38.9160768)",,25.0
107,27953,11148,11107,5,48.99423276619871,2015-04-01T00:00,"LINESTRING (-77.22753179999999 38.9160768, -77.2270954 38.915796)",,25.0
108,31005,11107,14779,5,53.2434487305435,2015-04-01T00:00,"LINESTRING (-77.2270954 38.915796, -77.2267063 38.9155464, -77.2266211 38.9154909)",,25.0
109,27636,14779,11106,3,55.19162385934011,2015-04-01T00:00,"LINESTRING (-77.226495 38.9154095, -77.22643619999999 38.9153708, -77.2259991 38.9150973)",,31.0
110,27637,11106,13742,3,105.13855228196044,2015-04-01T00:00,"LINESTRING (-77.2259991 38.9150973, -77.22585050000001 38.9150041, -77.2254059 38.9147172, -77.22519440000001 38.9145771, -77.2250612 38.9144962)",,31.0
111,28230,13742,2485,5,46.57011903999992,2015-04-01T00:00,"LINESTRING (-77.2250612 38.9144962, -77.2248582 38.9143729, -77.2246377 38.9142377)",,31.0
112,26849,2485,13312,5,22.827376189700765,2015-04-01T00:00,"LINESTRING (-77.2246377 38.9142377, -77.2244335 38.9141077)",,31.0
113,26850,13312,14763,6,60.383721796123226,2015-04-01T00:00,"LINESTRING (-77.2244335 38.9141077, -77.2239775 38.9138311, -77.22388309999999 38.9137738)",,31.0
114,26851,14763,11145,3,174.8162880859908,2015-04-01T00:00,"LINESTRING (-77.22388309999999 38.9137738, -77.2231986 38.9133712, -77.2229373 38.9132251, -77.22224900000001 38.9128495)",,31.0
115,26852,11145,11131,3,23.50815323459837,2015-04-01T00:00,"LINESTRING (-77.22224900000001 38.9128495, -77.22202710000001 38.9127275)",,31.0
116,26853,11131,2484,3,28.04874309721781,2015-04-01T00:00,"LINESTRING (-77.22202710000001 38.9127275, -77.2217612 38.9125832)",,31.0
117,26854,2484,2483,3,38.544502696452426,2015-04-01T00:00,"LINESTRING (-77.2217612 38.9125832, -77.2214031 38.912377)",,31.0
118,21041,2483,1772,4,78.32799692297145,2015-04-01T00:00,"LINESTRING (-77.2214031 38.912377, -77.2206675 38.9119664)",,31.0
119,19884,1772,13741,3,180.95935767994004,2015-04-01T00:00,"LINESTRING (-77.2206675 38.9119664, -77.2189573 38.9110296)",,31.0
120,28229,13741,2481,5,42.31091075693266,2015-04-01T00:00,"LINESTRING (-77.2189573 38.9110296, -77.21855739999999 38.9108106)",,31.0
121,18484,2481,9736,6,154.70535593932104,2015-04-01T00:00,"LINESTRING (-77.21855739999999 38.9108106, -77.2177296 38.9103636, -77.21708959999999 38.9100161)",,31.0
122,18485,9736,13902,6,58.600278159003466,2015-04-01T00:00,"LINESTRING (-77.21708959999999 38.9100161, -77.21674729999999 38.9098283, -77.2165361 38.9097124)",,31.0
123,30796,13902,13903,6,8.221675434726759,2015-04-01T00:00,"LINESTRING (-77.2165361 38.9097124, -77.2164588 38.9096694)",,31.0
124,25849,13903,11028,3,70.21507796217654,2015-04-01T00:00,"LINESTRING (-77.2164588 38.9096694, -77.2158058 38.9092945)",,31.0
125,21068,11028,14355,4,39.60418612976555,2015-04-01T00:00,"LINESTRING (-77.2158058 38.9092945, -77.2154348 38.9090859)",,31.0
126,31110,14355,1085,5,22.528303393776184,2015-04-01T00:00,"LINESTRING (-77.2154348 38.9090859, -77.2152238 38.9089672)",,31.0
127,28226,1085,11025,6,17.267975500531623,2015-04-01T00:00,"LINESTRING (-77.2152238 38.9089672, -77.21506340000001 38.9088748)",,31.0
128,28227,11025,14778,5,42.35510327484884,2015-04-01T00:00,"LINESTRING (-77.21506340000001 38.9088748, -77.2146529 38.9086673)",,30.0
129,26539,14778,13740,3,118.0329445086262,2015-04-01T00:00,"LINESTRING (-77.2145435 38.9086089, -77.21445989999999 38.9085652, -77.21371670000001 38.9081773, -77.2133913 38.9080427)",,30.0
130,28225,13740,12785,3,56.274957238387046,2015-04-01T00:00,"LINESTRING (-77.2133913 38.9080427, -77.2130547 38.9079298, -77.2127892 38.9078517)",,30.0
131,28224,12785,13338,3,27.06880994488175,2015-04-01T00:00,"LINESTRING (-77.2127892 38.9078517, -77.2124906 38.9077791)",,30.0
132,26927,13338,11018,3,67.32340747567915,2015-04-01T00:00,"LINESTRING (-77.2124906 38.9077791, -77.2117417 38.9076149)",,30.0
133,26926,11018,13220,2,66.48938395732945,2015-04-01T00:00,"LINESTRING (-77.2117417 38.9076149, -77.2110048 38.9074454)",,30.0
134,26538,13220,11016,3,84.47531756369271,2015-04-01T00:00,"LINESTRING (-77.2110048 38.9074454, -77.2100745 38.907215)",,30.0
135,28223,11016,11015,2,230.83033643881035,2015-04-01T00:00,"LINESTRING (-77.2100745 38.907215, -77.20899060000001 38.9069611, -77.2082647 38.9067911, -77.2078224 38.9066574, -77.2076473 38.9065843, -77.2075557 38.9065452)",,30.0
136,19989,11015,11014,4,95.00966527643855,2015-04-01T00:00,"LINESTRING (-77.2075557 38.9065452, -77.207157 38.906353, -77.20680950000001 38.9061383, -77.2066784 38.9060364)",,30.0
