link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,length,grade,facility_type,capacity,free_speed,lanes
100000128,115+05164,AZ-101-LOOP_COUNTERCLOCKWISE,52.0,100000070,100000007,1,,"LINESTRING (-111.89636000000002 33.65036,-111.9015 33.65314)",1,0.353865,,,,,
100000129,115-04374,AZ-101-LOOP_CLOCKWISE,43.0,100000084,100000010,1,,"LINESTRING (-112.09772 33.66952,-112.09523999999999 33.66959)",1,0.142708,,,,,
100000130,115P04380,AZ-101-LOOP_COUNTERCLOCKWISE,55.0,100000086,100000017,1,,"LINESTRING (-111.919 33.65699,-111.93113999999998 33.65951)",1,0.719428,,,,,
100000131,115-04375,AZ-101-LOOP_CLOCKWISE,45.0,100000087,100000036,1,,"LINESTRING (-112.09151000000001 33.66939,-112.09007 33.66921)",1,0.083723,,,,,
100000132,115-04376,AZ-101-LOOP_CLOCKWISE,47.0,100000088,100000034,1,,"LINESTRING (-112.07713000000001 33.66871,-112.07275 33.66876)",1,0.251848,,,,,
100000133,115-04377,AZ-101-LOOP_CLOCKWISE,49.0,100000035,100000030,1,,"LINESTRING (-112.05848999999999 33.66898,-112.03737 33.6702)",1,1.227586,,,,,
100000134,115P04140,AZ-101-LOOP_COUNTERCLOCKWISE,71.0,100000003,100000037,1,,"LINESTRING (-112.1003 33.66944,-112.1164 33.66883)",1,0.92891,,,,,
100000135,115-04135,AZ-101-LOOP_CLOCKWISE,31.0,100000092,100000029,1,,"LINESTRING (-112.21385 33.6676,-112.2095 33.667609999999996)",1,0.25012,,,,,
100000136,115-04134,AZ-101-LOOP_CLOCKWISE,29.0,100000094,100000033,1,,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1,0.699116,,,,,
100000137,115-04372,AZ-101-LOOP_CLOCKWISE,63.0,100000016,100000020,1,,"LINESTRING (-111.89072 33.6413,-111.89045 33.63808)",1,0.223356,,,,,
100000138,115-04373,AZ-101-LOOP_CLOCKWISE,61.0,100000080,100000015,1,,"LINESTRING (-111.90167 33.65295,-111.89787 33.6511)",1,0.253711,,,,,
100000139,115-04139,AZ-101-LOOP_CLOCKWISE,39.0,100000099,100000039,1,,"LINESTRING (-112.13467 33.669090000000004,-112.12732 33.66864)",1,0.42547399999999996,,,,,
100000140,115-04138,AZ-101-LOOP_CLOCKWISE,37.0,100000101,100000041,1,,"LINESTRING (-112.161 33.66935,-112.14013999999999 33.669540000000005)",1,1.199391,,,,,
