name_tmc,corridor_id_tmc,link_id_tmc,from_node_id_tmc,to_node_id_tmc,category_id_tmc,geometry_tmc,name_base,link_id_base,from_node_id_base,to_node_id_base,category_id_base,geometry_base,geometry_tmc_base,distance
115N04139,AZ-101-LOOP_CLOCKWISE,11,100000012,100000013,12,"LINESTRING (-112.12732 33.66864,-112.11697 33.66865)",Agua Fria Freeway,30205,22023,13348,12,"LINESTRING (-112.1323751 33.6686934, -112.1319555 33.6686591, -112.1311561 33.6686326, -112.1269041 33.6686161)","MULTILINESTRING ((-112.12732 33.66864,-112.11697 33.66865), (-112.1323751 33.6686934, -112.1319555 33.6686591, -112.1311561 33.6686326, -112.1269041 33.6686161))",2.2285921105947227e-05
115N04139,AZ-101-LOOP_CLOCKWISE,11,100000012,100000013,12,"LINESTRING (-112.12732 33.66864,-112.11697 33.66865)",Agua Fria Freeway,32540,13348,13494,12,"LINESTRING (-112.1269041 33.6686161, -112.1266206 33.6686136)","MULTILINESTRING ((-112.12732 33.66864,-112.11697 33.66865), (-112.1269041 33.6686161, -112.1266206 33.6686136))",2.63076191160472e-05
115N04139,AZ-101-LOOP_CLOCKWISE,11,100000012,100000013,12,"LINESTRING (-112.12732 33.66864,-112.11697 33.66865)",Agua Fria Freeway,29670,13494,13495,12,"LINESTRING (-112.1266206 33.6686136, -112.125376 33.6686182)","MULTILINESTRING ((-112.12732 33.66864,-112.11697 33.66865), (-112.1266206 33.6686136, -112.125376 33.6686182))",2.6724516173850082e-05
115N04139,AZ-101-LOOP_CLOCKWISE,11,100000012,100000013,12,"LINESTRING (-112.12732 33.66864,-112.11697 33.66865)",Agua Fria Freeway,29671,13495,22027,12,"LINESTRING (-112.125376 33.6686182, -112.1226603 33.6686258, -112.1219054 33.6686264, -112.1208687 33.6686208, -112.1189896 33.6686265, -112.1176288 33.6686246, -112.1157293 33.6686308)","MULTILINESTRING ((-112.12732 33.66864,-112.11697 33.66865), (-112.125376 33.6686182, -112.1226603 33.6686258, -112.1219054 33.6686264, -112.1208687 33.6686208, -112.1189896 33.6686265, -112.1176288 33.6686246, -112.1157293 33.6686308))",2.3447291922071793e-05
115-04140,AZ-101-LOOP_CLOCKWISE,12,100000013,100000014,13,"LINESTRING (-112.11697 33.66865,-112.11639 33.66864)",Agua Fria Freeway,29671,13495,22027,13,"LINESTRING (-112.125376 33.6686182, -112.1226603 33.6686258, -112.1219054 33.6686264, -112.1208687 33.6686208, -112.1189896 33.6686265, -112.1176288 33.6686246, -112.1157293 33.6686308)","MULTILINESTRING ((-112.11697 33.66865,-112.11639 33.66864), (-112.125376 33.6686182, -112.1226603 33.6686258, -112.1219054 33.6686264, -112.1208687 33.6686208, -112.1189896 33.6686265, -112.1176288 33.6686246, -112.1157293 33.6686308))",2.324954185166325e-05
115N04140,AZ-101-LOOP_CLOCKWISE,13,100000014,100000015,14,"LINESTRING (-112.11639 33.66864,-112.09772 33.66952)",Agua Fria Freeway,29671,13495,22027,14,"LINESTRING (-112.125376 33.6686182, -112.1226603 33.6686258, -112.1219054 33.6686264, -112.1208687 33.6686208, -112.1189896 33.6686265, -112.1176288 33.6686246, -112.1157293 33.6686308)","MULTILINESTRING ((-112.11639 33.66864,-112.09772 33.66952), (-112.125376 33.6686182, -112.1226603 33.6686258, -112.1219054 33.6686264, -112.1208687 33.6686208, -112.1189896 33.6686265, -112.1176288 33.6686246, -112.1157293 33.6686308))",1.1356475437226698e-05
115N04140,AZ-101-LOOP_CLOCKWISE,13,100000014,100000015,14,"LINESTRING (-112.11639 33.66864,-112.09772 33.66952)",Agua Fria Freeway,47379,22027,22026,14,"LINESTRING (-112.1157293 33.6686308, -112.1143743 33.668636, -112.1140885 33.6686336)","MULTILINESTRING ((-112.11639 33.66864,-112.09772 33.66952), (-112.1157293 33.6686308, -112.1143743 33.668636, -112.1140885 33.6686336))",4.406925482306474e-05
115N04140,AZ-101-LOOP_CLOCKWISE,13,100000014,100000015,14,"LINESTRING (-112.11639 33.66864,-112.09772 33.66952)",Agua Fria Freeway,47378,22026,13069,14,"LINESTRING (-112.1140885 33.6686336, -112.1133621 33.6686404)","MULTILINESTRING ((-112.11639 33.66864,-112.09772 33.66952), (-112.1140885 33.6686336, -112.1133621 33.6686404))",0.0001266709366485453
115N04140,AZ-101-LOOP_CLOCKWISE,13,100000014,100000015,14,"LINESTRING (-112.11639 33.66864,-112.09772 33.66952)",Pima Freeway,29256,13069,13446,14,"LINESTRING (-112.1133621 33.6686404, -112.11282 33.6686427, -112.112401 33.6686445, -112.1114247 33.6686438, -112.1110683 33.6686472, -112.1106354 33.6686481, -112.1103278 33.6686466, -112.110038 33.6686452, -112.1095672 33.6686476, -112.1090584 33.668645, -112.1079815 33.6686182)","MULTILINESTRING ((-112.11639 33.66864,-112.09772 33.66952), (-112.1133621 33.6686404, -112.11282 33.6686427, -112.112401 33.6686445, -112.1114247 33.6686438, -112.1110683 33.6686472, -112.1106354 33.6686481, -112.1103278 33.6686466, -112.110038 33.6686452, -112.1095672 33.6686476, -112.1090584 33.668645, -112.1079815 33.6686182))",0.00015658702451233302
115N04140,AZ-101-LOOP_CLOCKWISE,13,100000014,100000015,14,"LINESTRING (-112.11639 33.66864,-112.09772 33.66952)",Pima Freeway,29257,13446,13068,14,"LINESTRING (-112.1079815 33.6686182, -112.1068751 33.6686268, -112.1058222 33.6686277)","MULTILINESTRING ((-112.11639 33.66864,-112.09772 33.66952), (-112.1079815 33.6686182, -112.1068751 33.6686268, -112.1058222 33.6686277))",0.00042519035500485466
