,_vatmc_code,measurement_tstamp,speed,reference_speed
269,110-05704,2015-04-01 00:20:00,50.0,50.0
270,110N05706,2015-04-01 00:20:00,41.0,41.0
271,110N05692,2015-04-01 00:20:00,33.0,33.0
272,110+05698,2015-04-01 00:20:00,35.0,35.0
273,110+05708,2015-04-01 00:20:00,45.0,45.0
274,110N05699,2015-04-01 00:20:00,36.0,36.0
275,110-05701,2015-04-01 00:20:00,47.0,47.0
276,110+05702,2015-04-01 00:20:00,47.0,47.0
277,110-05706,2015-04-01 00:20:00,48.0,48.0
278,110P05692,2015-04-01 00:20:00,29.0,29.0
279,110+05705,2015-04-01 00:20:00,48.0,48.0
280,110N05711,2015-04-01 00:20:00,44.0,44.0
281,110-05710,2015-04-01 00:20:00,44.0,44.0
282,110+05704,2015-04-01 00:20:00,50.0,50.0
283,110N05710,2015-04-01 00:20:00,49.0,49.0
284,110N05707,2015-04-01 00:20:00,50.0,50.0
285,110+05701,2015-04-01 00:20:00,42.0,42.0
286,110-05708,2015-04-01 00:20:00,48.0,48.0
287,110P05708,2015-04-01 00:20:00,43.0,43.0
288,110+05709,2015-04-01 00:20:00,47.0,47.0
289,110-05709,2015-04-01 00:20:00,48.0,48.0
290,110P05710,2015-04-01 00:20:00,49.0,49.0
291,110P05697,2015-04-01 00:20:00,35.0,35.0
292,110P05696,2015-04-01 00:20:00,31.0,31.0
293,110P05699,2015-04-01 00:20:00,36.0,36.0
294,110-05693,2015-04-01 00:20:00,30.0,30.0
295,110+05705,2015-04-01 00:25:00,48.0,48.0
296,110P05708,2015-04-01 00:25:00,43.0,43.0
297,110-05693,2015-04-01 00:25:00,30.0,30.0
298,110-05697,2015-04-01 00:25:00,40.0,30.0
299,110+05707,2015-04-01 00:25:00,48.0,48.0
300,110P05697,2015-04-01 00:25:00,35.0,35.0
301,110P05692,2015-04-01 00:25:00,29.0,29.0
302,110N05692,2015-04-01 00:25:00,33.0,33.0
303,110+05694,2015-04-01 00:25:00,31.0,31.0
304,110+05706,2015-04-01 00:25:00,48.0,48.0
305,110-05696,2015-04-01 00:25:00,40.0,29.0
306,110N05695,2015-04-01 00:25:00,41.0,33.0
307,110-05708,2015-04-01 00:25:00,48.0,48.0
308,110-05695,2015-04-01 00:25:00,38.0,31.0
309,110N05698,2015-04-01 00:25:00,39.0,30.0
310,110N05699,2015-04-01 00:25:00,36.0,36.0
311,110+05695,2015-04-01 00:25:00,31.0,31.0
312,110P05706,2015-04-01 00:25:00,48.0,48.0
313,110-05699,2015-04-01 00:25:00,40.0,40.0
314,110-05709,2015-04-01 00:25:00,48.0,48.0
315,110+05701,2015-04-01 00:25:00,42.0,42.0
316,110P05699,2015-04-01 00:25:00,36.0,36.0
317,110-05701,2015-04-01 00:25:00,47.0,47.0
318,110N05710,2015-04-01 00:25:00,49.0,49.0
319,110N05696,2015-04-01 00:25:00,38.0,25.0
320,110+05704,2015-04-01 00:25:00,50.0,50.0
321,110+05708,2015-04-01 00:25:00,45.0,45.0
322,110P05710,2015-04-01 00:25:00,49.0,49.0
323,110-05700,2015-04-01 00:25:00,43.0,43.0
324,110+05697,2015-04-01 00:25:00,36.0,36.0
325,110-05698,2015-04-01 00:25:00,38.0,30.0
326,110N05694,2015-04-01 00:25:00,41.0,30.0
327,110-05704,2015-04-01 00:25:00,50.0,50.0
328,110-05707,2015-04-01 00:25:00,50.0,50.0
329,110+05709,2015-04-01 00:25:00,47.0,47.0
330,110P05695,2015-04-01 00:25:00,35.0,35.0
331,110+05703,2015-04-01 00:25:00,48.0,48.0
332,110+05693,2015-04-01 00:25:00,31.0,31.0
333,110-05694,2015-04-01 00:25:00,41.0,31.0
334,110+05700,2015-04-01 00:25:00,40.0,40.0
335,110N05707,2015-04-01 00:25:00,50.0,50.0
336,110+05710,2015-04-01 00:25:00,48.0,48.0
337,110+05696,2015-04-01 00:25:00,32.0,32.0
338,110+05698,2015-04-01 00:25:00,35.0,35.0
339,110N05697,2015-04-01 00:25:00,40.0,32.0
340,110N05706,2015-04-01 00:25:00,41.0,41.0
341,110P05698,2015-04-01 00:25:00,35.0,35.0
342,110-05705,2015-04-01 00:25:00,50.0,50.0
343,110-05702,2015-04-01 00:25:00,48.0,48.0
344,110+05699,2015-04-01 00:25:00,35.0,35.0
345,110+05702,2015-04-01 00:25:00,47.0,47.0
346,110N05711,2015-04-01 00:25:00,44.0,44.0
347,110P05696,2015-04-01 00:25:00,31.0,31.0
348,110+05711,2015-04-01 00:25:00,56.0,41.0
349,110P05707,2015-04-01 00:25:00,45.0,45.0
350,110-05703,2015-04-01 00:25:00,50.0,50.0
351,110P05694,2015-04-01 00:25:00,31.0,31.0
352,110-05706,2015-04-01 00:25:00,48.0,48.0
353,110-05710,2015-04-01 00:25:00,44.0,44.0
354,110P05698,2015-04-01 00:30:00,35.0,35.0
355,110-05694,2015-04-01 00:30:00,41.0,31.0
356,110+05710,2015-04-01 00:30:00,48.0,48.0
357,110+05693,2015-04-01 00:30:00,46.0,31.0
358,110P05694,2015-04-01 00:30:00,43.0,31.0
359,110-05697,2015-04-01 00:30:00,40.38,30.0
360,110-05702,2015-04-01 00:30:00,49.76,48.0
361,110-05705,2015-04-01 00:30:00,52.0,50.0
362,110P05710,2015-04-01 00:30:00,49.0,49.0
363,110+05703,2015-04-01 00:30:00,48.0,48.0
364,110-05706,2015-04-01 00:30:00,48.0,48.0
365,110+05702,2015-04-01 00:30:00,47.0,47.0
366,110P05695,2015-04-01 00:30:00,43.0,35.0
367,110-05700,2015-04-01 00:30:00,46.5,43.0
368,110-05704,2015-04-01 00:30:00,55.0,50.0
369,110-05701,2015-04-01 00:30:00,49.86,47.0
370,110P05707,2015-04-01 00:30:00,45.0,45.0
371,110P05696,2015-04-01 00:30:00,31.0,31.0
372,110N05699,2015-04-01 00:30:00,38.25,36.0
373,110N05707,2015-04-01 00:30:00,50.0,50.0
374,110+05704,2015-04-01 00:30:00,50.0,50.0
375,110+05694,2015-04-01 00:30:00,45.0,31.0
376,110+05700,2015-04-01 00:30:00,40.0,40.0
377,110-05699,2015-04-01 00:30:00,41.94,40.0
378,110N05692,2015-04-01 00:30:00,33.0,33.0
379,110+05706,2015-04-01 00:30:00,48.0,48.0
380,110P05699,2015-04-01 00:30:00,36.56,36.0
381,110N05697,2015-04-01 00:30:00,40.0,32.0
382,110P05708,2015-04-01 00:30:00,43.0,43.0
383,110P05697,2015-04-01 00:30:00,35.0,35.0
384,110+05699,2015-04-01 00:30:00,35.0,35.0
385,110N05711,2015-04-01 00:30:00,44.0,44.0
386,110-05698,2015-04-01 00:30:00,39.07,30.0
387,110N05694,2015-04-01 00:30:00,41.0,30.0
388,110-05709,2015-04-01 00:30:00,48.0,48.0
389,110-05693,2015-04-01 00:30:00,30.0,30.0
390,110-05707,2015-04-01 00:30:00,50.0,50.0
391,110N05696,2015-04-01 00:30:00,38.0,25.0
392,110+05705,2015-04-01 00:30:00,48.0,48.0
393,110+05709,2015-04-01 00:30:00,47.0,47.0
394,110+05698,2015-04-01 00:30:00,35.0,35.0
395,110P05692,2015-04-01 00:30:00,29.0,29.0
396,110-05710,2015-04-01 00:30:00,44.0,44.0
397,110+05695,2015-04-01 00:30:00,43.0,31.0
398,110-05695,2015-04-01 00:30:00,38.2,31.0
399,110N05706,2015-04-01 00:30:00,41.0,41.0
400,110+05707,2015-04-01 00:30:00,48.0,48.0
401,110N05698,2015-04-01 00:30:00,39.57,30.0
402,110P05706,2015-04-01 00:30:00,48.0,48.0
403,110+05701,2015-04-01 00:30:00,42.0,42.0
404,110+05711,2015-04-01 00:30:00,43.32,41.0
405,110+05697,2015-04-01 00:30:00,36.0,36.0
406,110+05696,2015-04-01 00:30:00,32.0,32.0
407,110-05708,2015-04-01 00:30:00,48.0,48.0
408,110N05695,2015-04-01 00:30:00,41.0,33.0
